Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen_x,Playcount_LastFM_x,Listeners_LastFM_x,Biografia_Resumen_y,Playcount_LastFM_y,Listeners_LastFM_y
INNA,Latin (Origen: pop),Canción,Deja Vu,2010,3V7choSVaP2zUqtIYpfynG,1BykQV2nA2F8zXzsUJ6DQ2,Hot,2010,INNA,"Inna, real name Elena Alexandra Apostoleanu, was born on 16 October, 1986, in Mangalia, Romania. Blessed with singing talent, she had been singing from a very early age. 
Apostoleanu spent her childhood in the Romanian village Neptun. After graduating from high school, she started studying at Constanta University.
At October 12, 2008 Apostoleanu's first single Hot was released. This dance song immediately gained a #1 chart spot in eight different countries, only to continue this success in 2009 in rest of the world.  <a href=""https://www.last.fm/music/Inna"">Read more on Last.fm</a>",21612945,1049133,"Inna, real name Elena Alexandra Apostoleanu, was born on 16 October, 1986, in Mangalia, Romania. Blessed with singing talent, she had been singing from a very early age. 
Apostoleanu spent her childhood in the Romanian village Neptun. After graduating from high school, she started studying at Constanta University.
At October 12, 2008 Apostoleanu's first single Hot was released. This dance song immediately gained a #1 chart spot in eight different countries, only to continue this success in 2009 in rest of the world.  <a href=""https://www.last.fm/music/Inna"">Read more on Last.fm</a>",21652144,1050316
Raya Real,Latin (Origen: pop),Canción,Ya es Navidad Popurrí: Ya es Navidad- Zúmbale a la pandereta - Ya vienen los Reyes Magos - Arre Borriquito - Ya es Navidad,2010,58uudyh1lw0OOIFUYH8NRA,2yB2QymBYlen6hYk5ueXFt,Ya es Navidad: Nuevos Villancicos,2010,Raya Real," <a href=""https://www.last.fm/music/Raya+Real"">Read more on Last.fm</a>",298420,29111," <a href=""https://www.last.fm/music/Raya+Real"">Read more on Last.fm</a>",299869,29208
Los Rebujitos,Latin (Origen: pop),Canción,Un Bonito Final,2010,1fRstt9Ftedotij9ipkPDR,3qeDf8K4Ymc62Jerpxi4bG,El Niño Pena,2010,Los Rebujitos,"THIS TEXT IS FROM WIKIPEDIA:
Manuel y Yerai forman el grupo ""Los Rebujitos"". Nacidos en Tarifa (Cádiz), sacan su primer disco en el año 2004 bajo el título ""Lo Que Me Gusta De Ti"". Un álbum con el cual logran hacerse un hueco en el mundo de la música, vendiendo mas de 40.000 mil copias y realizando más de 70 conciertos por toda la geografía española. Después de ese éxito deciden editar una Edición Especial, con temas extras y un DVD con algunos temas en concierto y videoclips. <a href=""https://www.last.fm/music/Los+Rebujitos"">Read more on Last.fm</a>",391082,28038,"THIS TEXT IS FROM WIKIPEDIA:
Manuel y Yerai forman el grupo ""Los Rebujitos"". Nacidos en Tarifa (Cádiz), sacan su primer disco en el año 2004 bajo el título ""Lo Que Me Gusta De Ti"". Un álbum con el cual logran hacerse un hueco en el mundo de la música, vendiendo mas de 40.000 mil copias y realizando más de 70 conciertos por toda la geografía española. Después de ese éxito deciden editar una Edición Especial, con temas extras y un DVD con algunos temas en concierto y videoclips. <a href=""https://www.last.fm/music/Los+Rebujitos"">Read more on Last.fm</a>",391703,28074
Katy Perry,Latin (Origen: pop),Canción,Teenage Dream,2010,6r1ygpKNXg7deq18rzyM7F,2UG6T6f0Qc9SaBCIcaviLM,Teenage Dream,2010,Katy Perry,"Katheryn Elizabeth Hudson, known professionally as Katy Perry (born October 25, 1984, in Santa Barbara, CA), is an American singer, songwriter, and television judge. The story of someone who was born into a Christian environment and who, years later, would become a pop music star. Muse of those who feel different or excluded, Katy Perry got her first guitar (from the church) at the age of thirteen and dreamed of it, as many young people do. The difference is that she did it. <a href=""https://www.last.fm/music/Katy+Perry"">Read more on Last.fm</a>",419113674,6922480,,,
INNA,Latin (Origen: pop),Canción,Amazing,2010,52hQY9AntPqOQM46N9BnfC,7mRhzwh8TINisagYjnmIMT,Hot,2010,INNA,"Inna, real name Elena Alexandra Apostoleanu, was born on 16 October, 1986, in Mangalia, Romania. Blessed with singing talent, she had been singing from a very early age. 
Apostoleanu spent her childhood in the Romanian village Neptun. After graduating from high school, she started studying at Constanta University.
At October 12, 2008 Apostoleanu's first single Hot was released. This dance song immediately gained a #1 chart spot in eight different countries, only to continue this success in 2009 in rest of the world.  <a href=""https://www.last.fm/music/Inna"">Read more on Last.fm</a>",21612945,1049133,"Inna, real name Elena Alexandra Apostoleanu, was born on 16 October, 1986, in Mangalia, Romania. Blessed with singing talent, she had been singing from a very early age. 
Apostoleanu spent her childhood in the Romanian village Neptun. After graduating from high school, she started studying at Constanta University.
At October 12, 2008 Apostoleanu's first single Hot was released. This dance song immediately gained a #1 chart spot in eight different countries, only to continue this success in 2009 in rest of the world.  <a href=""https://www.last.fm/music/Inna"">Read more on Last.fm</a>",21652144,1050316
Melendi,Latin (Origen: pop),Canción,Barbie de extrarradio,2010,7bp62Lo0nOBcfB70iUoibE,1O2K1CtGy9oNUPkmOKLnAx,Volvamos a empezar (Deluxe edition),2010,Melendi,"His full name is Ramón Melendi Espina. Spanish pop singer with rock, flamenco, and rumba influences. Was born on January 21, 1979 in Oviedo, Asturias. 

He realized very quickly that he wasn't made for studying, but he was good at soccer. He played in the lower ranks of Astur CF, at the time a reserve team for Real Oviedo. Afterwards, he worked as a waiter in several bars and spent all night out, living experiences that would later go on to make up the lyrics of his songs. <a href=""https://www.last.fm/music/Melendi"">Read more on Last.fm</a>",7746795,306707,"His full name is Ramón Melendi Espina. Spanish pop singer with rock, flamenco, and rumba influences. Was born on January 21, 1979 in Oviedo, Asturias. 

He realized very quickly that he wasn't made for studying, but he was good at soccer. He played in the lower ranks of Astur CF, at the time a reserve team for Real Oviedo. Afterwards, he worked as a waiter in several bars and spent all night out, living experiences that would later go on to make up the lyrics of his songs. <a href=""https://www.last.fm/music/Melendi"">Read more on Last.fm</a>",7761386,307000
Camila,Latin (Origen: pop),Canción,Bésame,2010,4LjyEL2sAQU7QZPC6GuTf6,0MPMiyavAbARflBlNGjIA6,Dejarte De Amar,2010,Camila,"There are 2 artists that perform under the name ""Camila"":

1. A Mexican soft rock group.
2. An English speaking VTuber.

1. Camila is a Mexican soft rock group formed in 2005 which reached success in their home country and all over Latin America upon the release of their debut album Todo Cambió. (Not to be confused with South Korean pop group Camila, which can be found here: 카밀라)

The group includes Mario Domm (producer and composer) from Mexico City <a href=""https://www.last.fm/music/Camila"">Read more on Last.fm</a>",10352194,491730,"There are 2 artists that perform under the name ""Camila"":

1. A Mexican soft rock group.
2. An English speaking VTuber.

1. Camila is a Mexican soft rock group formed in 2005 which reached success in their home country and all over Latin America upon the release of their debut album Todo Cambió. (Not to be confused with South Korean pop group Camila, which can be found here: 카밀라)

The group includes Mario Domm (producer and composer) from Mexico City <a href=""https://www.last.fm/music/Camila"">Read more on Last.fm</a>",10374095,492411
Katy Perry,Latin (Origen: pop),Canción,California Gurls,2010,3f7gYMirBEKuc57218BjOY,06SY6Ke6mXzZHhURLVU57R,Teenage Dream,2010,Katy Perry,"Katheryn Elizabeth Hudson, known professionally as Katy Perry (born October 25, 1984, in Santa Barbara, CA), is an American singer, songwriter, and television judge. The story of someone who was born into a Christian environment and who, years later, would become a pop music star. Muse of those who feel different or excluded, Katy Perry got her first guitar (from the church) at the age of thirteen and dreamed of it, as many young people do. The difference is that she did it. <a href=""https://www.last.fm/music/Katy+Perry"">Read more on Last.fm</a>",419113674,6922480,,,
USHER,Latin (Origen: pop),Canción,More - RedOne Jimmy Joker Remix,2010,0aBKFfdyOD1Ttvgv0cfjjJ,5GNPZT1Bxq0EP7PQDQmK3U,More,2010,USHER,"Usher Raymond IV (born October 14, 1978) is an American singer, songwriter, dancer, and actor, known for his influence on contemporary R&B and pop music. He released his self-titled debut album, ""Usher,"" in 1994 at the age of 15, and rose to prominence with his second album, ""My Way"" (1997), which produced his first US Billboard Hot 100 number-one single, ""Nice & Slow,"" as well as the top-two singles ""My Way"" and ""You Make Me Wanna..."".

His third album <a href=""https://www.last.fm/music/Usher"">Read more on Last.fm</a>",97873922,4859340,"Usher Raymond IV (born October 14, 1978) is an American singer, songwriter, dancer, and actor, known for his influence on contemporary R&B and pop music. He released his self-titled debut album, ""Usher,"" in 1994 at the age of 15, and rose to prominence with his second album, ""My Way"" (1997), which produced his first US Billboard Hot 100 number-one single, ""Nice & Slow,"" as well as the top-two singles ""My Way"" and ""You Make Me Wanna..."".

His third album <a href=""https://www.last.fm/music/Usher"">Read more on Last.fm</a>",98033329,4864593
Malú,Latin (Origen: pop),Canción,Blanco y Negro,2010,01GOfcFj720XJOKwnpv6I9,273buPXMrWCNebglkJodUr,Blanco y Negro,2010,Malú,"There are at least 4 singers named Malú or Malu.

1.  María 'Malú' Lucía Sánchez (born 15 March, 1982) is a singer from Madrid, Spain. Malú was discovered at the age of 15 when she was singing at a family party. She began the recording of her first album Aprendiz in January 1998. Malú is the niece of the flamenco singer-songwriter Paco de Lucía.

2. Malu is a pop singer from Amsterdam, The Netherlands. There is no accent on the letter 'u', but scrobbles of her songs end up here due to Last. <a href=""https://www.last.fm/music/+noredirect/Mal%C3%BA"">Read more on Last.fm</a>",1335726,79294,"There are at least 4 singers named Malú or Malu.

1.  María 'Malú' Lucía Sánchez (born 15 March, 1982) is a singer from Madrid, Spain. Malú was discovered at the age of 15 when she was singing at a family party. She began the recording of her first album Aprendiz in January 1998. Malú is the niece of the flamenco singer-songwriter Paco de Lucía.

2. Malu is a pop singer from Amsterdam, The Netherlands. There is no accent on the letter 'u', but scrobbles of her songs end up here due to Last. <a href=""https://www.last.fm/music/+noredirect/Mal%C3%BA"">Read more on Last.fm</a>",1337671,79365
Rihanna,Latin (Origen: pop),Canción,What's My Name?,2010,6DkXLzBQT7cwXmTyzAB1DJ,5QG3tjE5L9F6O2vCAPph38,Loud,2010,Rihanna,"Robyn Rihanna Fenty (born February 20, 1988), professionally known mononymously as Rihanna, is a Barbadian singer, songwriter, actress, businesswoman, entrepreneur and fashion designer.

She has attained fourteen Billboard Hot 100 number ones thus far and is the second Barbadian artist to win a Grammy Award. She is also a cultural ambassador for Barbados. In 2021 Rihanna was named a ""National Hero"" in her home country, earning her the title ""The Right Excellent.""  <a href=""https://www.last.fm/music/Rihanna"">Read more on Last.fm</a>",563112009,8060322,"Robyn Rihanna Fenty (born February 20, 1988), professionally known mononymously as Rihanna, is a Barbadian singer, songwriter, actress, businesswoman, entrepreneur and fashion designer.

She has attained fourteen Billboard Hot 100 number ones thus far and is the second Barbadian artist to win a Grammy Award. She is also a cultural ambassador for Barbados. In 2021 Rihanna was named a ""National Hero"" in her home country, earning her the title ""The Right Excellent.""  <a href=""https://www.last.fm/music/Rihanna"">Read more on Last.fm</a>",564149607,8067865
Chayanne,Latin (Origen: pop),Canción,Me Enamoré de Ti,2010,1sJFu2pvYJhtEOo9oVe1TZ,2Z1OKCVyqJ1lMHTU612E07,No Hay Imposibles,2010,Chayanne,"Chayanne (born June 29, 1969)is a Latin Pop singer who was born as Elmer Figueroa de Arce in San Lorenzo, Puerto Rico.

Figueroa began using the artistic name of ""Chayanne"" when he was a little kid. He auditioned for Menudo, but was told that at the time that he was too young for the group. He didn't give up and he heard that Titi Soto was trying to create a new group that would compete with Menudo, and so he went and tried out. He was chosen for the group and his meteoric rise to the top began. <a href=""https://www.last.fm/music/Chayanne"">Read more on Last.fm</a>",6944331,496422,"Chayanne (born June 29, 1969)is a Latin Pop singer who was born as Elmer Figueroa de Arce in San Lorenzo, Puerto Rico.

Figueroa began using the artistic name of ""Chayanne"" when he was a little kid. He auditioned for Menudo, but was told that at the time that he was too young for the group. He didn't give up and he heard that Titi Soto was trying to create a new group that would compete with Menudo, and so he went and tried out. He was chosen for the group and his meteoric rise to the top began. <a href=""https://www.last.fm/music/Chayanne"">Read more on Last.fm</a>",6955813,496973
Rihanna,Latin (Origen: pop),Canción,Man Down,2010,1Bx0zEdVjkFlV27iKaePug,7vN82vd1Vq44fjlhjfvHJp,Loud,2010,Rihanna,"Robyn Rihanna Fenty (born February 20, 1988), professionally known mononymously as Rihanna, is a Barbadian singer, songwriter, actress, businesswoman, entrepreneur and fashion designer.

She has attained fourteen Billboard Hot 100 number ones thus far and is the second Barbadian artist to win a Grammy Award. She is also a cultural ambassador for Barbados. In 2021 Rihanna was named a ""National Hero"" in her home country, earning her the title ""The Right Excellent.""  <a href=""https://www.last.fm/music/Rihanna"">Read more on Last.fm</a>",563112009,8060322,"Robyn Rihanna Fenty (born February 20, 1988), professionally known mononymously as Rihanna, is a Barbadian singer, songwriter, actress, businesswoman, entrepreneur and fashion designer.

She has attained fourteen Billboard Hot 100 number ones thus far and is the second Barbadian artist to win a Grammy Award. She is also a cultural ambassador for Barbados. In 2021 Rihanna was named a ""National Hero"" in her home country, earning her the title ""The Right Excellent.""  <a href=""https://www.last.fm/music/Rihanna"">Read more on Last.fm</a>",564149607,8067865
Rihanna,Latin (Origen: pop),Canción,S&M,2010,0C4ejWmOTMv8vuYj85mf8m,7vN82vd1Vq44fjlhjfvHJp,Loud,2010,Rihanna,"Robyn Rihanna Fenty (born February 20, 1988), professionally known mononymously as Rihanna, is a Barbadian singer, songwriter, actress, businesswoman, entrepreneur and fashion designer.

She has attained fourteen Billboard Hot 100 number ones thus far and is the second Barbadian artist to win a Grammy Award. She is also a cultural ambassador for Barbados. In 2021 Rihanna was named a ""National Hero"" in her home country, earning her the title ""The Right Excellent.""  <a href=""https://www.last.fm/music/Rihanna"">Read more on Last.fm</a>",563112009,8060322,"Robyn Rihanna Fenty (born February 20, 1988), professionally known mononymously as Rihanna, is a Barbadian singer, songwriter, actress, businesswoman, entrepreneur and fashion designer.

She has attained fourteen Billboard Hot 100 number ones thus far and is the second Barbadian artist to win a Grammy Award. She is also a cultural ambassador for Barbados. In 2021 Rihanna was named a ""National Hero"" in her home country, earning her the title ""The Right Excellent.""  <a href=""https://www.last.fm/music/Rihanna"">Read more on Last.fm</a>",564149607,8067865
Rihanna,Latin (Origen: pop),Canción,Only Girl (In The World),2010,0AH6WMe3OlAlUb5miXt2FQ,7vN82vd1Vq44fjlhjfvHJp,Loud,2010,Rihanna,"Robyn Rihanna Fenty (born February 20, 1988), professionally known mononymously as Rihanna, is a Barbadian singer, songwriter, actress, businesswoman, entrepreneur and fashion designer.

She has attained fourteen Billboard Hot 100 number ones thus far and is the second Barbadian artist to win a Grammy Award. She is also a cultural ambassador for Barbados. In 2021 Rihanna was named a ""National Hero"" in her home country, earning her the title ""The Right Excellent.""  <a href=""https://www.last.fm/music/Rihanna"">Read more on Last.fm</a>",563112009,8060322,"Robyn Rihanna Fenty (born February 20, 1988), professionally known mononymously as Rihanna, is a Barbadian singer, songwriter, actress, businesswoman, entrepreneur and fashion designer.

She has attained fourteen Billboard Hot 100 number ones thus far and is the second Barbadian artist to win a Grammy Award. She is also a cultural ambassador for Barbados. In 2021 Rihanna was named a ""National Hero"" in her home country, earning her the title ""The Right Excellent.""  <a href=""https://www.last.fm/music/Rihanna"">Read more on Last.fm</a>",564149607,8067865
Camila,Latin (Origen: pop),Canción,Aléjate de Mí,2010,15AbuFJdFrbINydSMSqVhV,0MPMiyavAbARflBlNGjIA6,Dejarte De Amar,2010,Camila,"There are 2 artists that perform under the name ""Camila"":

1. A Mexican soft rock group.
2. An English speaking VTuber.

1. Camila is a Mexican soft rock group formed in 2005 which reached success in their home country and all over Latin America upon the release of their debut album Todo Cambió. (Not to be confused with South Korean pop group Camila, which can be found here: 카밀라)

The group includes Mario Domm (producer and composer) from Mexico City <a href=""https://www.last.fm/music/Camila"">Read more on Last.fm</a>",10352194,491730,"There are 2 artists that perform under the name ""Camila"":

1. A Mexican soft rock group.
2. An English speaking VTuber.

1. Camila is a Mexican soft rock group formed in 2005 which reached success in their home country and all over Latin America upon the release of their debut album Todo Cambió. (Not to be confused with South Korean pop group Camila, which can be found here: 카밀라)

The group includes Mario Domm (producer and composer) from Mexico City <a href=""https://www.last.fm/music/Camila"">Read more on Last.fm</a>",10374095,492411
David Guetta,Latin (Origen: pop),Canción,When Love Takes Over (feat. Kelly Rowland),2010,0GWGZA5mxo9nHuSyrj70uo,7fHeCs5cgtXYqxBPG1iK1n,One More Love,2010,David Guetta,"Pierre David Guetta is a French DJ and music producer. He has sold over 10 million albums and 65 million singles globally, with more than 14 billion streams. In 2011, 2020, and 2021, Guetta was voted the number one DJ in the DJ Mag Top 100 DJs poll. In 2013, Billboard crowned ""When Love Takes Over"" as the number-one dance-pop collaboration of all time, with singer Kelly Rowland.

He released his first album, Just a Little More Love, in 2002. Later, he released Guetta Blaster (2004) and Pop Life (2007). <a href=""https://www.last.fm/music/David+Guetta"">Read more on Last.fm</a>",179435795,5044103,"Pierre David Guetta is a French DJ and music producer. He has sold over 10 million albums and 65 million singles globally, with more than 14 billion streams. In 2011, 2020, and 2021, Guetta was voted the number one DJ in the DJ Mag Top 100 DJs poll. In 2013, Billboard crowned ""When Love Takes Over"" as the number-one dance-pop collaboration of all time, with singer Kelly Rowland.

He released his first album, Just a Little More Love, in 2002. Later, he released Guetta Blaster (2004) and Pop Life (2007). <a href=""https://www.last.fm/music/David+Guetta"">Read more on Last.fm</a>",179690099,5049639
