Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Biografia_Resumen_x,Listeners_LastFM_x,Playcount_LastFM_x,Artistas_Similares,Biografia_Resumen_y,Playcount_LastFM_y,Listeners_LastFM_y
Sister Sledge,funk (Origen: funk),Canción,Frankie - Edit Version; Remastered,2024,3EFRhuWVvNeOrf9bpPgONL,25p9CXwXYOQopbsxKmltss,"Sister Sledge is an American musical group from Philadelphia, Pennsylvania, formed in 1971 and consisted of four sisters: Debbie Sledge (born July 9, 1954), Joni Sledge (September 13, 1956 –  March 10, 2017), Kim Sledge (born August 21, 1957), and Kathy Sledge (born January 6, 1958). The group is best known for their hit songs ""We Are Family"", ""Lost In Music"", ""He's the Greatest Dancer"", and ""Frankie"".

The members of Sister Sledge were born and",861786,6988315,"Chic, Shalamar, Melba Moore, KC and The Sunshine Band, McFadden & Whitehead",,,
Chaka Khan,funk (Origen: funk),Canción,Ain't Nobody,2024,4DaAo5SJv2J8IFJ15UekDZ,5gx0fuw2qxouQjWmwGvCOj,"Yvette Marie Stevens (born March 23, 1953), better known as Chaka Khan, and frequently referred to as the ""Queen of Funk"", is a 10-time Grammy Award winning American singer-songwriter from Chicago, Illinois who gained fame in the 1970s as the frontwoman and focal point of the funk band Rufus.

In  1964, at the age of 11, Khan formed her first musical group, the Crystalettes. While still in high school, she joined the Afro-Arts Theater, a group which toured with Motown great Mary Wells; a few years later",1215175,11791173,"Rufus, Phyllis Hyman, Patti LaBelle, Stephanie Mills, Diana Ross",,,
Rudimental,funk (Origen: funk),Canción,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",2024,7DyrhAEJ9ldRVBwFYRoWtq,203cfQKzuhsfK1CriFoY5Z,"Rudimental are an east London (UK) music quartet, comprising the songwriters and producers Piers Agget, Kesi Dryden and Amir Amor, together with DJ Locksmith. 

They have stated that they are on a mission to bring back soul into electronic music, and are quoted as saying: “We aren’t just electronic bedroom producers, and we’re not just guitarists and pianists who don’t know much about making a beat”.  They grew up on everything from grime to jazz and blues",1235581,21466483,"Sigma, Wilkinson, Chase & Status, Hybrid Minds, venbee",,,
Ernie K-Doe,funk (Origen: funk),Canción,Real Man,2024,2D1sCnndfK9W9Z9dVFTQyV,3tCSrsFBMASdMfVQOOpbnK,"Ernest Kador, Jr. (Feb 22, 1936 - July 5, 2001) was known as Ernie K-Doe, a colorful performer, who became the first artist from New Orleans to have a national charting #1 hit actually recorded in New Orleans (Mother-In-Law,#1 Pop, #1 R&B 1961). Doe was a self promotor extraordinaire, nicknaming himself ""Emperor of The World"" and “the Greatest Boy-Child ever conceived at Charity Hospital in New Orleans”. While never to top the charts again after his 1961 hit",52917,232324,"Hank Ballard & The Midnighters, Earl King, Betty Harris, Allen Toussaint, Lee Dorsey",,,
Eddie Bo,funk (Origen: funk),Canción,You Got Your Mojo Working,2024,7FDMNSMIHfNNLV89nzjUr7,0RP3hzW2YRvRI3RBLvzJm2,"Eddie Bo (born Edwin Joseph Bocage, New Orleans, Louisiana, September 20, 1930 – March 18, 2009) was an American rhythm and blues singer and New Orleans-style pianist.
Schooled in jazz, he was known for his blues, soul and funk recordings, compositions, productions and arrangements. He debuted on Ace Records in 1955 and released more single records than anyone else in New Orleans other than Fats Domino.

Eddie Bo came from a long line of ship builders with the male members of his family being bricklayers",68072,366014,"Joe Tex, Betty Harris, Ernie K-Doe, Lee Dorsey, Allen Toussaint",,,
Jimmy Smith,funk (Origen: funk),Canción,Home Cookin' (aka Ode To Philly Joe) - From The Album Softly As A Summer Breeze - Remastered,2024,4fZBPxv50fyVHDRyTv24Ev,36urFGbM3YGgWElcpKenMm,"Jimmy Smith (December 8, 1928 – February 8, 2005) was an American jazz musician who helped popularize the Hammond B-3 organ, creating a link between jazz and 1960s soul music.

In 2005, Smith was awarded the NEA Jazz Masters Award from the National Endowment for the Arts, the highest honor that America bestows upon jazz musicians.

Born James Oscar Smith on 8th December 1928 in Norristown, Pennsylvania, USA. Smith was influenced by both gospel and blues.",429078,3730395,"Lou Donaldson, Stanley Turrentine, Grant Green, Hank Mobley, Jimmy McGriff",,,
Clean Bandit,funk (Origen: funk),Canción,Rather Be (feat. Jess Glynne),2024,2Y2XKOHrfl1k0gEltyTy6X,76xmMDdMhgV0rItCC2OExE,"Clean Bandit are a British electronic group formed in 2009. The band consists of Jack Patterson (bass guitar, keyboard), Luke Patterson (drums) & Grace Chatto (cello). Their sound can be described as a ""fusion"" between classical and electronial music. They produce their own music whilst inviting guest singers on their tracks.

To date they have found their biggest hits include Mozart's House and the massive UK number one single, ""Rather Be"" with singer Jess Glynne which won the 2015 Grammy for Best Dance Recording",2403437,47903110,"Jonas Blue, Jax Jones, The Chainsmokers, Sigala, Calvin Harris",,,
Clean Bandit,funk (Origen: funk),Canción,Rather Be,2024,1mOqAt4mqjsx1aB7x6PPyh,0B77QTBMsUbG3n1FeLhxw5,"Clean Bandit are a British electronic group formed in 2009. The band consists of Jack Patterson (bass guitar, keyboard), Luke Patterson (drums) & Grace Chatto (cello). Their sound can be described as a ""fusion"" between classical and electronial music. They produce their own music whilst inviting guest singers on their tracks.

To date they have found their biggest hits include Mozart's House and the massive UK number one single, ""Rather Be"" with singer Jess Glynne which won the 2015 Grammy for Best Dance Recording",2403437,47903110,"Jonas Blue, Jax Jones, The Chainsmokers, Sigala, Calvin Harris",,,
Roger,funk (Origen: funk),Canción,"I Want to Be Your Man - 7"" Version",2024,2hYd8jAptn8UFF8OKWmdUP,0tUPklUk4ZSfOKV5V2BwyC,"The name ""Roger"" can refer to three artists:

1) Roger Troutman (November 29, 1951 - April 25, 1999) was the lead singer of the band Zapp. Born in Hamilton, Ohio Troutman was the fourth of nine children. Like his mentor [George] Clinton, who recorded for several labels at the same time under different monikers, Troutman recorded simultaneously as Roger, releasing albums and hit singles on Warner Bros.

Innovative funkster Roger Troutman is considered by many the master of the Talk box -- an effects pedal usually used by guitarists",89176,569101,"Zapp, Zapp & Roger, Bernard Wright, Cameo, The Bar-Kays",,,
Rudimental,funk (Origen: funk),Canción,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",2024,3uwi07yjdFVMA1ld2yFyRA,2aqs7ehaJES3hz89MHZFAi,"Rudimental are an east London (UK) music quartet, comprising the songwriters and producers Piers Agget, Kesi Dryden and Amir Amor, together with DJ Locksmith. 

They have stated that they are on a mission to bring back soul into electronic music, and are quoted as saying: “We aren’t just electronic bedroom producers, and we’re not just guitarists and pianists who don’t know much about making a beat”.  They grew up on everything from grime to jazz and blues",1235581,21466483,"Sigma, Wilkinson, Chase & Status, Hybrid Minds, venbee",,,
Rudimental,funk (Origen: funk),Canción,Feel the Love (feat. John Newman),2024,7BAqxuoNgakfF3KFgVYo5n,4NW7f0xd43NiuMjrWGGAe5,"Rudimental are an east London (UK) music quartet, comprising the songwriters and producers Piers Agget, Kesi Dryden and Amir Amor, together with DJ Locksmith. 

They have stated that they are on a mission to bring back soul into electronic music, and are quoted as saying: “We aren’t just electronic bedroom producers, and we’re not just guitarists and pianists who don’t know much about making a beat”.  They grew up on everything from grime to jazz and blues",1235581,21466483,"Sigma, Wilkinson, Chase & Status, Hybrid Minds, venbee",,,
Clean Bandit,funk (Origen: funk),Canción,Rather Be (feat. Jess Glynne),2024,1iX8XE0sPRQqImHoUevODd,5dRygVgbYbuJhPCSPPzLFj,"Clean Bandit are a British electronic group formed in 2009. The band consists of Jack Patterson (bass guitar, keyboard), Luke Patterson (drums) & Grace Chatto (cello). Their sound can be described as a ""fusion"" between classical and electronial music. They produce their own music whilst inviting guest singers on their tracks.

To date they have found their biggest hits include Mozart's House and the massive UK number one single, ""Rather Be"" with singer Jess Glynne which won the 2015 Grammy for Best Dance Recording",2403437,47903110,"Jonas Blue, Jax Jones, The Chainsmokers, Sigala, Calvin Harris",,,
Jane's Addiction,funk (Origen: funk),Canción,Jane Says,2024,5iLFtlBkygM0KTCwq5F7Hg,76GyM4SqFWGLkZV9z9CG3v,"Jane's Addiction is an American alternative rock band from Los Angeles, formed in 1985. The band consists of vocalist Perry Farrell, guitarist Dave Navarro, drummer Stephen Perkins and bassist Eric Avery.

Founded by Farrell and original bass guitarist Eric Avery, following the disintegration of Farrell's previous band Psi Com, Jane's Addiction was one of the first bands from the early 1990s alternative rock movement to gain both mainstream media attention and commercial success in the United States.",1396356,20259991,"Porno for Pyros, Mother Love Bone, Blind Melon, Stone Temple Pilots, Soundgarden",,,
Banda Black Rio,funk (Origen: funk),Canción,Na baixa do sapateiro,2024,44vGCEzo90i21rDq8ENQ57,0yKHnSHL2uWyQb2qRXmyAG,"Mixing R&B, funk, jazz and samba elements, Banda Black Rio, led by Oberdan Magalhães, were one of the first to undertake the fusion of Brazilian rhythms with international black music. Formed in 1976, the band's unique and pioneering samba-jazz-funk sound has attracted thousands of worshiping fans across generations.

The band broke up in 1980, but came back together in 1999 in a new formation led by William Magalhães, Oberdan Magalhães' son.",131534,1257669,"Ed Motta, Di Melo, Cassiano, Gerson King Combo, Brylho",,,
Chaka Khan,funk (Origen: funk),Canción,Valentine (Live),2024,1HpAAVnNlwav0ze5leh8nU,4iC9fg9xHlKpWJYspPrQsA,"Yvette Marie Stevens (born March 23, 1953), better known as Chaka Khan, and frequently referred to as the ""Queen of Funk"", is a 10-time Grammy Award winning American singer-songwriter from Chicago, Illinois who gained fame in the 1970s as the frontwoman and focal point of the funk band Rufus.

In  1964, at the age of 11, Khan formed her first musical group, the Crystalettes. While still in high school, she joined the Afro-Arts Theater, a group which toured with Motown great Mary Wells; a few years later",1215175,11791173,"Rufus, Phyllis Hyman, Patti LaBelle, Stephanie Mills, Diana Ross",,,
Chaka Khan,funk (Origen: funk),Canción,Ain’t Nobody,2024,1NobgIjeDk2RJA0d4rXyDY,2TaFMIk4T8IlYvUrK7f8NL,"Yvette Marie Stevens (born March 23, 1953), better known as Chaka Khan, and frequently referred to as the ""Queen of Funk"", is a 10-time Grammy Award winning American singer-songwriter from Chicago, Illinois who gained fame in the 1970s as the frontwoman and focal point of the funk band Rufus.

In  1964, at the age of 11, Khan formed her first musical group, the Crystalettes. While still in high school, she joined the Afro-Arts Theater, a group which toured with Motown great Mary Wells; a few years later",1215175,11791173,"Rufus, Phyllis Hyman, Patti LaBelle, Stephanie Mills, Diana Ross",,,
Lee Dorsey,funk (Origen: funk),Canción,Gator Tail,2024,40SFoADhQjlyhgCsUcBWfK,0MVKpK3bHeOzyFp4MHERht,"Lee Dorsey (December 24, 1924 – December 2, 1986) was an American rhythm & blues singer. His biggest hits were ""Ya Ya"" (1961) and ""Working in the Coal Mine"" (1966). Much of his work was produced by Allen Toussaint with instrumental backing provided by the Meters. 

Born in New Orleans, Louisiana, Dorsey was a childhood friend of Fats Domino before moving to Portland, Oregon when he was ten years old. He served in the United States Navy in World War II and then began a career in prizefighting.",261921,1703644,"Betty Harris, Allen Toussaint, Shirley Ellis, Clarence Carter, Rufus Thomas",,,
Chaka Khan,funk (Origen: funk),Canción,"Signed, Sealed, Delivered (I'm Yours)",2024,6GoXn2EU0VPx9FprwY5Z7H,1qrGMCxNUufhjmdtFwJcwp,"Yvette Marie Stevens (born March 23, 1953), better known as Chaka Khan, and frequently referred to as the ""Queen of Funk"", is a 10-time Grammy Award winning American singer-songwriter from Chicago, Illinois who gained fame in the 1970s as the frontwoman and focal point of the funk band Rufus.

In  1964, at the age of 11, Khan formed her first musical group, the Crystalettes. While still in high school, she joined the Afro-Arts Theater, a group which toured with Motown great Mary Wells; a few years later",1215175,11791173,"Rufus, Phyllis Hyman, Patti LaBelle, Stephanie Mills, Diana Ross",,,
Chaka Khan,funk (Origen: funk),Canción,I Feel for You,2024,0ZdHg8Nzm89TknYz1KGswJ,2peqTKr0HvbvuvO1h4Pw49,"Yvette Marie Stevens (born March 23, 1953), better known as Chaka Khan, and frequently referred to as the ""Queen of Funk"", is a 10-time Grammy Award winning American singer-songwriter from Chicago, Illinois who gained fame in the 1970s as the frontwoman and focal point of the funk band Rufus.

In  1964, at the age of 11, Khan formed her first musical group, the Crystalettes. While still in high school, she joined the Afro-Arts Theater, a group which toured with Motown great Mary Wells; a few years later",1215175,11791173,"Rufus, Phyllis Hyman, Patti LaBelle, Stephanie Mills, Diana Ross",,,
Booker T. & the M.G.'s,funk (Origen: funk),Canción,Green Onions,2024,71CpsHx1McPbcA1fLDX3fn,6laODdXpX2Tta4hXmirZHa,"Booker T. & the M.G.'s is an instrumental rhythm & blues band that was influential in shaping the sound of Southern soul and Memphis soul. The original members of the group were Booker T. Jones (organ, piano), Steve Cropper (guitar), Lewie Steinberg (bass), and Al Jackson, Jr. (drums). In the 1960s, as members of the house band of Stax Records, they played on hundreds of recordings by artists such as Wilson Pickett, Otis Redding, Bill Withers, Sam & Dave, Carla Thomas, Rufus Thomas, Johnnie Taylor and Albert King.",485978,4062230,"The Mar-Keys, Rufus Thomas, Eddie Floyd, Sam & Dave, Carla Thomas",,,
Booker T. & the M.G.'s,funk (Origen: funk),Canción,Green Onions,2024,3iw6hn8p1Mua1YJ0Rc9z85,5gx0fuw2qxouQjWmwGvCOj,"Booker T. & the M.G.'s is an instrumental rhythm & blues band that was influential in shaping the sound of Southern soul and Memphis soul. The original members of the group were Booker T. Jones (organ, piano), Steve Cropper (guitar), Lewie Steinberg (bass), and Al Jackson, Jr. (drums). In the 1960s, as members of the house band of Stax Records, they played on hundreds of recordings by artists such as Wilson Pickett, Otis Redding, Bill Withers, Sam & Dave, Carla Thomas, Rufus Thomas, Johnnie Taylor and Albert King.",485978,4062230,"The Mar-Keys, Rufus Thomas, Eddie Floyd, Sam & Dave, Carla Thomas",,,
Chaka Khan,funk (Origen: funk),Canción,I Was Made to Love Him,2024,3FHiakhvTeiNv3vUIgVJv0,5UrW3rZuOsoiSj1jABAJwg,"Yvette Marie Stevens (born March 23, 1953), better known as Chaka Khan, and frequently referred to as the ""Queen of Funk"", is a 10-time Grammy Award winning American singer-songwriter from Chicago, Illinois who gained fame in the 1970s as the frontwoman and focal point of the funk band Rufus.

In  1964, at the age of 11, Khan formed her first musical group, the Crystalettes. While still in high school, she joined the Afro-Arts Theater, a group which toured with Motown great Mary Wells; a few years later",1215175,11791173,"Rufus, Phyllis Hyman, Patti LaBelle, Stephanie Mills, Diana Ross",,,
Banda Black Rio,funk (Origen: funk),Canción,Urubu malandro,2024,6hm6c00DHUyzfcpCotTsBO,4OX4mQ8S7P5KQ51fDp8BXv,"Mixing R&B, funk, jazz and samba elements, Banda Black Rio, led by Oberdan Magalhães, were one of the first to undertake the fusion of Brazilian rhythms with international black music. Formed in 1976, the band's unique and pioneering samba-jazz-funk sound has attracted thousands of worshiping fans across generations.

The band broke up in 1980, but came back together in 1999 in a new formation led by William Magalhães, Oberdan Magalhães' son.",131534,1257669,"Ed Motta, Di Melo, Cassiano, Gerson King Combo, Brylho",,,
Roni,funk (Origen: funk),Canción,Raja Ke Daam,2024,020mSQjAXvz1Kb603q7b9E,3137LjRPRujJT4gKBtQfsI,"There are several artists known as 'Roni':
- a female Israeli pop singer
- a female singer-songwriter from USA
- several male Kurdish folk singers (Hozan Ronî)
- South Korean male singer

1) Roni aka Roni Duani (רוני דואני born March 10, 1986 in Rishon Lezion, Israel) - she is an Israeli pop singer, children’s television show host and a fashion model.
Roni gained recognition in 2003 with her debut album The World Outside My Door which included the hit single ""Superstar"".",8243,155953,"Maya Avraham, אמיר פיי גוטמן, שירי מימון, קרן פלס, נינט טייב",,,
UM44K,funk (Origen: funk),Canción,Melhor pensar,2024,32t5q9D03BPsItY6tHTkXN,0eaiHhPwDXSygUyJbXL3kp,"Um44K was a Brazilian duo formed in Rio de Janeiro by Luan Otten and Saulo Poncio in 2016. 

The duo parted amicably  in June 2020, after Saulo announced that he would devote himself to religion. Luan pursued a solo career.

With the success on YouTube, the duo Um44K brings a pop style, mixing with rap and R&B.

Saulo and Luan met in 2015 and, right away, the affinity between the two was evident, making their friendship emerge along with the project.",136166,2009221,"1Kilo, Delacruz, Vitão, Oriente, Clau",,,
Jane's Addiction,funk (Origen: funk),Canción,Jane Says,2024,26iZs8spBPZbCrMuQ9cXon,6tTMvBYrJTfgVoYAs0ZNja,"Jane's Addiction is an American alternative rock band from Los Angeles, formed in 1985. The band consists of vocalist Perry Farrell, guitarist Dave Navarro, drummer Stephen Perkins and bassist Eric Avery.

Founded by Farrell and original bass guitarist Eric Avery, following the disintegration of Farrell's previous band Psi Com, Jane's Addiction was one of the first bands from the early 1990s alternative rock movement to gain both mainstream media attention and commercial success in the United States.",1396356,20259991,"Porno for Pyros, Mother Love Bone, Blind Melon, Stone Temple Pilots, Soundgarden",,,
Igor vilão,funk (Origen: funk),Canción,Lava Rapido,2024,2n2oEecmnkV7fdDxCJkTSf,1Mdy8VqAINBNiAEE0OFT3b,,57522,369189,"Mc menor jc, MC Fefe Original, Club da Dz7, DJ P13, DJ RUSSO OFFICIAL",,,
Faith No More,funk (Origen: funk),Canción,Epic - Radio Edit,2024,0X8bN4mpGCkDxANQM5LHUZ,6d8bbJnaImv17um0p5eeCY,"Faith No More is an American alternative metal band from San Francisco, California, formed in 1979. Before settling on the current name in July 1983, the band performed under the names Sharp Young Men and later Faith No Man. Bassist Billy Gould, keyboardist/rhythm guitarist Roddy Bottum, and drummer Mike Bordin are the longest-remaining members of the band, having been involved since its inception. The band underwent several early lineup changes and some major changes later.",1762705,67967400,"Mr. Bungle, Tomahawk, Mike Patton, Peeping Tom, Primus",,,
Clean Bandit,funk (Origen: funk),Canción,Rather Be,2024,5L1BGflMip1wu47AO7k6tV,71OnGMLbw2k7yGTGhvCeQL,"Clean Bandit are a British electronic group formed in 2009. The band consists of Jack Patterson (bass guitar, keyboard), Luke Patterson (drums) & Grace Chatto (cello). Their sound can be described as a ""fusion"" between classical and electronial music. They produce their own music whilst inviting guest singers on their tracks.

To date they have found their biggest hits include Mozart's House and the massive UK number one single, ""Rather Be"" with singer Jess Glynne which won the 2015 Grammy for Best Dance Recording",2403437,47903110,"Jonas Blue, Jax Jones, The Chainsmokers, Sigala, Calvin Harris",,,
Ernie K-Doe,funk (Origen: funk),Canción,"Wanted, $10,000.00 Reward",2024,67QJ2KgHTIp9baD6dlf9ZN,3tCSrsFBMASdMfVQOOpbnK,"Ernest Kador, Jr. (Feb 22, 1936 - July 5, 2001) was known as Ernie K-Doe, a colorful performer, who became the first artist from New Orleans to have a national charting #1 hit actually recorded in New Orleans (Mother-In-Law,#1 Pop, #1 R&B 1961). Doe was a self promotor extraordinaire, nicknaming himself ""Emperor of The World"" and “the Greatest Boy-Child ever conceived at Charity Hospital in New Orleans”. While never to top the charts again after his 1961 hit",52917,232324,"Hank Ballard & The Midnighters, Earl King, Betty Harris, Allen Toussaint, Lee Dorsey",,,
Booker T. & the M.G.'s,funk (Origen: funk),Canción,Mo' Onions,2024,2h2oXzzHKXkSUoqM1qu74D,3y1rTY5BPSPkwiJaV7wQ7j,"Booker T. & the M.G.'s is an instrumental rhythm & blues band that was influential in shaping the sound of Southern soul and Memphis soul. The original members of the group were Booker T. Jones (organ, piano), Steve Cropper (guitar), Lewie Steinberg (bass), and Al Jackson, Jr. (drums). In the 1960s, as members of the house band of Stax Records, they played on hundreds of recordings by artists such as Wilson Pickett, Otis Redding, Bill Withers, Sam & Dave, Carla Thomas, Rufus Thomas, Johnnie Taylor and Albert King.",485978,4062230,"The Mar-Keys, Rufus Thomas, Eddie Floyd, Sam & Dave, Carla Thomas",,,
Chaka Khan,funk (Origen: funk),Canción,Ain't Nobody,2024,6Q5SguAoVkYA791Mh16Ti2,1AAF1y9GEsXCNQb612idbl,"Yvette Marie Stevens (born March 23, 1953), better known as Chaka Khan, and frequently referred to as the ""Queen of Funk"", is a 10-time Grammy Award winning American singer-songwriter from Chicago, Illinois who gained fame in the 1970s as the frontwoman and focal point of the funk band Rufus.

In  1964, at the age of 11, Khan formed her first musical group, the Crystalettes. While still in high school, she joined the Afro-Arts Theater, a group which toured with Motown great Mary Wells; a few years later",1215175,11791173,"Rufus, Phyllis Hyman, Patti LaBelle, Stephanie Mills, Diana Ross",,,
Chaka Khan,funk (Origen: funk),Canción,Ain’t Nobody,2024,5kVQs5jmn8FjHja7qVjo4s,23CuaaeeoFFB275Y4ROX33,"Yvette Marie Stevens (born March 23, 1953), better known as Chaka Khan, and frequently referred to as the ""Queen of Funk"", is a 10-time Grammy Award winning American singer-songwriter from Chicago, Illinois who gained fame in the 1970s as the frontwoman and focal point of the funk band Rufus.

In  1964, at the age of 11, Khan formed her first musical group, the Crystalettes. While still in high school, she joined the Afro-Arts Theater, a group which toured with Motown great Mary Wells; a few years later",1215175,11791173,"Rufus, Phyllis Hyman, Patti LaBelle, Stephanie Mills, Diana Ross",,,
Chaka Khan,funk (Origen: funk),Canción,Ain’t Nobody,2024,6rk3Hgmd5N3NeNjNd2dGT7,1nguffxay51CiV7ZxkdyNG,"Yvette Marie Stevens (born March 23, 1953), better known as Chaka Khan, and frequently referred to as the ""Queen of Funk"", is a 10-time Grammy Award winning American singer-songwriter from Chicago, Illinois who gained fame in the 1970s as the frontwoman and focal point of the funk band Rufus.

In  1964, at the age of 11, Khan formed her first musical group, the Crystalettes. While still in high school, she joined the Afro-Arts Theater, a group which toured with Motown great Mary Wells; a few years later",1215175,11791173,"Rufus, Phyllis Hyman, Patti LaBelle, Stephanie Mills, Diana Ross",,,
War,funk (Origen: funk),Canción,Low Rider,2024,3cwTYVnhCEkOjiesmfCFdb,3YR8P3PGMvOvVglx0aF456,"There are at least ten artists with this name: 

1. WAR were a popular funk group of the '70s. They mixed soul, jazz, blues, reggae, Latin and rock influences in their music.  They had a very recognizable sound, due to their mix of harmonica, horns, guitar, bass, percussion, and vocals. WAR was initially formed in 1969 from a band called Nightshift to jam while Eric Burdon free-associated lyrics.  They released two albums under Burdon's name, the first of which contained the hit Spill the Wine.",1011886,8330641,"Eric Burdon & WAR, Ohio Players, Average White Band, Parliament, Funkadelic",,,
Angelo Ferreri,funk (Origen: funk),Canción,Hyperuranian - Unison Remix,2024,4TdknU3kjTb5TU4eipHrGK,5omnzf0nZeEgSJRvYOWcHH,"The Italian producer first started making beats on his Playstation at the age of 12, and year after year his polished productions have caught the ear of tastemakers across the globe.

His labels MOOD FUNK RECORDS & MONOSIDE have been a consistent source of some of the best house music in the scene, with releases from the likes of David Penn, DJ Mes, Kevin McKay, Sebb Junior, Art Of Tones, Robbie Rivera, Moon Rocket, Peter Brown, Hatiras, Johnick, to name but a few.",75401,458346,"Saison, Earth n Days, Sllash & Doppe, Crazibiza, Hotmood",,,
Roni,funk (Origen: funk),Canción,На восток,2024,4pYTYw3orHW7f0C6EZYZfN,4bxxuPaQG8iELMiSjWRs8G,"There are several artists known as 'Roni':
- a female Israeli pop singer
- a female singer-songwriter from USA
- several male Kurdish folk singers (Hozan Ronî)
- South Korean male singer

1) Roni aka Roni Duani (רוני דואני born March 10, 1986 in Rishon Lezion, Israel) - she is an Israeli pop singer, children’s television show host and a fashion model.
Roni gained recognition in 2003 with her debut album The World Outside My Door which included the hit single ""Superstar"".",8243,155953,"Maya Avraham, אמיר פיי גוטמן, שירי מימון, קרן פלס, נינט טייב",,,
Clean Bandit,funk (Origen: funk),Canción,Rather Be (feat. Jess Glynne),2024,0zxcIbTTXoBPDrBubELs5e,2TdWR4SJEBVeDwx6PXjhus,"Clean Bandit are a British electronic group formed in 2009. The band consists of Jack Patterson (bass guitar, keyboard), Luke Patterson (drums) & Grace Chatto (cello). Their sound can be described as a ""fusion"" between classical and electronial music. They produce their own music whilst inviting guest singers on their tracks.

To date they have found their biggest hits include Mozart's House and the massive UK number one single, ""Rather Be"" with singer Jess Glynne which won the 2015 Grammy for Best Dance Recording",2403437,47903110,"Jonas Blue, Jax Jones, The Chainsmokers, Sigala, Calvin Harris",,,
Clean Bandit,funk (Origen: funk),Canción,Rather Be (feat. Jess Glynne),2024,0x0Yl05T1JfskIvea8Jj0N,0jhaZZg2lYohe3Jehum7do,"Clean Bandit are a British electronic group formed in 2009. The band consists of Jack Patterson (bass guitar, keyboard), Luke Patterson (drums) & Grace Chatto (cello). Their sound can be described as a ""fusion"" between classical and electronial music. They produce their own music whilst inviting guest singers on their tracks.

To date they have found their biggest hits include Mozart's House and the massive UK number one single, ""Rather Be"" with singer Jess Glynne which won the 2015 Grammy for Best Dance Recording",2403437,47903110,"Jonas Blue, Jax Jones, The Chainsmokers, Sigala, Calvin Harris",,,
Clean Bandit,funk (Origen: funk),Canción,Rather Be (feat. Jess Glynne),2024,0er0vP6O0EjzUlPH9ldthK,0as6zSQ75BaCNKvrm5jARR,"Clean Bandit are a British electronic group formed in 2009. The band consists of Jack Patterson (bass guitar, keyboard), Luke Patterson (drums) & Grace Chatto (cello). Their sound can be described as a ""fusion"" between classical and electronial music. They produce their own music whilst inviting guest singers on their tracks.

To date they have found their biggest hits include Mozart's House and the massive UK number one single, ""Rather Be"" with singer Jess Glynne which won the 2015 Grammy for Best Dance Recording",2403437,47903110,"Jonas Blue, Jax Jones, The Chainsmokers, Sigala, Calvin Harris",,,
Chaka Khan,funk (Origen: funk),Canción,Ain't Nobody,2024,17JdkCJGT0fqtl9fuhC1RK,5NDc9x05hLdCicSTXcUV6W,"Yvette Marie Stevens (born March 23, 1953), better known as Chaka Khan, and frequently referred to as the ""Queen of Funk"", is a 10-time Grammy Award winning American singer-songwriter from Chicago, Illinois who gained fame in the 1970s as the frontwoman and focal point of the funk band Rufus.

In  1964, at the age of 11, Khan formed her first musical group, the Crystalettes. While still in high school, she joined the Afro-Arts Theater, a group which toured with Motown great Mary Wells; a few years later",1215175,11791173,"Rufus, Phyllis Hyman, Patti LaBelle, Stephanie Mills, Diana Ross",,,
Clean Bandit,funk (Origen: funk),Canción,Rather Be (feat. Jess Glynne),2024,5Xo3DLaqY73qYQwDegJ5MR,484mnq2r1sTMKtW5VNgHj9,"Clean Bandit are a British electronic group formed in 2009. The band consists of Jack Patterson (bass guitar, keyboard), Luke Patterson (drums) & Grace Chatto (cello). Their sound can be described as a ""fusion"" between classical and electronial music. They produce their own music whilst inviting guest singers on their tracks.

To date they have found their biggest hits include Mozart's House and the massive UK number one single, ""Rather Be"" with singer Jess Glynne which won the 2015 Grammy for Best Dance Recording",2403437,47903110,"Jonas Blue, Jax Jones, The Chainsmokers, Sigala, Calvin Harris",,,
Chaka Khan,funk (Origen: funk),Canción,Ain’t Nobody,2024,6REmmyFXfB4czaFbkLS5ZV,4mdAhVaUqx8RRLCQsSfeEq,"Yvette Marie Stevens (born March 23, 1953), better known as Chaka Khan, and frequently referred to as the ""Queen of Funk"", is a 10-time Grammy Award winning American singer-songwriter from Chicago, Illinois who gained fame in the 1970s as the frontwoman and focal point of the funk band Rufus.

In  1964, at the age of 11, Khan formed her first musical group, the Crystalettes. While still in high school, she joined the Afro-Arts Theater, a group which toured with Motown great Mary Wells; a few years later",1215175,11791173,"Rufus, Phyllis Hyman, Patti LaBelle, Stephanie Mills, Diana Ross",,,
Banda Black Rio,funk (Origen: funk),Canción,Caminho da roça,2024,0ZKKSqYapRlZwdOb0zPUlC,3F2mxR5ZoRKIpddjRS7Jj0,"Mixing R&B, funk, jazz and samba elements, Banda Black Rio, led by Oberdan Magalhães, were one of the first to undertake the fusion of Brazilian rhythms with international black music. Formed in 1976, the band's unique and pioneering samba-jazz-funk sound has attracted thousands of worshiping fans across generations.

The band broke up in 1980, but came back together in 1999 in a new formation led by William Magalhães, Oberdan Magalhães' son.",131534,1257669,"Ed Motta, Di Melo, Cassiano, Gerson King Combo, Brylho",,,
