Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Popularidad
Wisin & Yandel,Reggaeton (Origen: reggaeton),Canción,Irresistible,2010,4nAGpukSeyzDHJe0PMn0Ap,4mIV2lIQfHszWU28kvYtJ1,59
Angel Y Khriz,Reggaeton (Origen: reggaeton),Canción,Me Enamoré,2010,57WauWILXLXRzBXNaxf9FM,441w84evLgVKSEgdIw8f3m,59
Canelita,Reggaeton (Origen: reggaeton),Canción,Baila Reggaeton,2010,0NDEWNVvRd8V9qVWOgBWHb,5CUsVkmvLwlnf6VTRZvqqH,47
Pitbull,Reggaeton (Origen: reggaeton),Canción,Maldito Alcohol (Pitbull vs. Afrojack),2010,5VtRjcZYvXj1VdT3FWG3ZD,0kv3Rm7PODqJBQaVJiezuB,55
Arcángel,Reggaeton (Origen: reggaeton),Canción,No Pueden Con El Chamaquito,2010,0SFK07OU4XL9fWJebqvtcz,2LMo7FDyGyObmktZd37fYj,51
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Humo,2010,5BCeoF9MxCk8X5I56zWQCf,6A6eSLDcS2r7qT9ZFYSJlL,52
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Na Na Nau,2010,0k1fktfwCNUAxQ0318e2ye,6A6eSLDcS2r7qT9ZFYSJlL,59
Don Omar,Reggaeton (Origen: reggaeton),Canción,Ella Ella,2010,7AObnx2EzL6FeYjmdjPCoA,6mGDfbDErYIJsmSewvccWm,48
Joey Montana,Reggaeton (Origen: reggaeton),Canción,Tus Ojos No Me Ven,2010,3AeI1xRkvnylBB94JKuXzt,10BqbyvQvltaEwWr9I67l8,53
Daddy Yankee,Reggaeton (Origen: reggaeton),Canción,El Ritmo No Perdona,2010,3XKeZXhIxy1SwYlDwVD2vF,1KvWjARMNg4QmqyLLb0zp1,62
Fuego,Reggaeton (Origen: reggaeton),Canción,Super Estrella (feat. Omega),2010,1CokMUEE6W4Sn9cwsm4TkO,794VF2hKc5pG3VjapCZ7VG,50
Plan B,Reggaeton (Origen: reggaeton),Canción,Es un Secreto,2010,3Btqti3QpzZZr6uz5mlNzz,6sP9EP1NyetOJxmuw2ErZi,77
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Ciudau Au Au,2010,4vkgwMRQ7U1BYiKUmdX8ca,6A6eSLDcS2r7qT9ZFYSJlL,56
J Alvarez,Reggaeton (Origen: reggaeton),Canción,Deja,2010,1uLAKESXylbYIK2tSMh7XT,2ouuoBa8BHjrwj68lftlaZ,61
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Pienso en Ti,2010,59gM93v9QI3zha0WPnyrYa,6A6eSLDcS2r7qT9ZFYSJlL,63
Don Omar,Reggaeton (Origen: reggaeton),Canción,Taboo,2010,2rRK7oBzercpZVcavz2cUB,3F41BssbVvfFnh6DdDODeO,57
Chino & Nacho,Reggaeton (Origen: reggaeton),Canción,Tu Angelito,2010,77VXEopCatM9pqJl0beeCj,5WdtDMLZ889QUGhstd0r96,63
Farruko,Reggaeton (Origen: reggaeton),Canción,Ella No Es Fácil,2010,51VkDFjQNGDZtJRzdPZbZw,2FGhhlr2SX31pVXnrd13kq,64
Joey Montana,Reggaeton (Origen: reggaeton),Canción,La Melodía,2010,2sH1DIngiSA8EQfkcQXpBq,10BqbyvQvltaEwWr9I67l8,66
Don Omar,Reggaeton (Origen: reggaeton),Canción,RX,2010,3NgDulHteTVdF026IxY5bW,3F41BssbVvfFnh6DdDODeO,70
Chino & Nacho,Reggaeton (Origen: reggaeton),Canción,Niña Bonita,2010,4u5xLMRN0dgKBFFN8FiNgv,5WdtDMLZ889QUGhstd0r96,74
Daddy Yankee,Reggaeton (Origen: reggaeton),Canción,La Despedida,2010,0fqrZVSenCW6vD2eFMx5pt,1KvWjARMNg4QmqyLLb0zp1,76
Opi the Hit Machine,Reggaeton (Origen: reggaeton),Canción,Siempre Me Llama,2010,3KHRuCGHGDshAJT3W0BciW,2zuPWkqHUIcrJ5HSILJt4t,63
Don Omar,Reggaeton (Origen: reggaeton),Canción,Taboo,2010,4cyYC67XY3weSVmSLdKLP8,6mGDfbDErYIJsmSewvccWm,77
Farruko,Reggaeton (Origen: reggaeton),Canción,Nena Fichu,2010,4fP0RqHjhQAnA9PQMchA0S,2FGhhlr2SX31pVXnrd13kq,70
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Prrrum,2010,774Vy9sPhpePjj0B7WHaG2,6A6eSLDcS2r7qT9ZFYSJlL,69
Farruko,Reggaeton (Origen: reggaeton),Canción,Hola Beba,2010,1yBD8MNoNJGajzB5X83p9Z,2P1I1irRcW34ZTr6TghnYY,72
Don Omar,Reggaeton (Origen: reggaeton),Canción,Hasta Abajo,2010,0Z2OhR9OoUdZ9rhEy9ECkq,3F41BssbVvfFnh6DdDODeO,73
Reykon,Reggaeton (Origen: reggaeton),Canción,Se Aloca,2010,2zdJivCf2ex6XLHQgomwwE,2NIFKPr4jll96aNb8jbyWh,45
DJ Sanny J,Reggaeton (Origen: reggaeton),Canción,Fiesta Reggaeton - D@Niele 2010 Tek Remix,2010,1ND3O9oFkHElah4d5g3OeF,5u1NEpM0S8EljkiIrRnwJH,41
Tercer Cielo,Reggaeton (Origen: reggaeton),Canción,Lindo Viaje,2010,1dtCEBUQ6kKiiIOs4SKCIM,200aveoss0oM7G4aLcWAut,46
Plan B,Reggaeton (Origen: reggaeton),Canción,Si No Le Contesto,2010,4dUJ7JsLy4H8PvUa6vzltN,6sP9EP1NyetOJxmuw2ErZi,70
Cosculluela,Reggaeton (Origen: reggaeton),Canción,En Ocasiones,2010,6xr1clUcXX86k2Q3rumbW2,6A6eSLDcS2r7qT9ZFYSJlL,47
Croni-K,Reggaeton (Origen: reggaeton),Canción,Arriba la Vida,2010,7c4MmWfKDFR7EPlpNMEJtN,7383pJlmq039mtWsOxLkmR,48
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Na Na Nau (Remix),2010,6qQIUFu4v6xfIjyrPqcbla,65mi6jZnKONshoj5DvL3jD,45
Marc Anthony,Reggaeton (Origen: reggaeton),Canción,Vivir lo nuestro (salsa),2010,1jrWoQ7ob6wGgN9Ow03mQj,2b4nbJCVka7rbb5B7D4QON,56
Divino,Reggaeton (Origen: reggaeton),Canción,Conmigo Siempre,2010,1eAG3khj5NLmgVCBFLk1mv,1VHQXZe5R5jNGFKKJm0jbH,51
Farruko,Reggaeton (Origen: reggaeton),Canción,Te Iré a Buscar,2010,5MPSIqK8WmbQ9TkuJhmtyv,2FGhhlr2SX31pVXnrd13kq,51
Reykon,Reggaeton (Origen: reggaeton),Canción,Señorita,2010,2OaYw5lKupF7e04eGycsn6,2NIFKPr4jll96aNb8jbyWh,50
Zion,Reggaeton (Origen: reggaeton),Canción,Hoy Lo Siento,2010,3T94LFmbPwazndtvTIARDx,6ikxDWMpxYKljifA8oUx3D,60
Don Omar,Reggaeton (Origen: reggaeton),Canción,Hasta Abajo,2010,4s7DK08ZqqU5EnjvQ6Vlle,6mGDfbDErYIJsmSewvccWm,62
J Alvarez,Reggaeton (Origen: reggaeton),Canción,Regalame Una Noche,2010,7dDMaJ0yaGUhyF6WR4XJLr,3u912fQ90byr8h9Pc92oxt,42
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Prrrum - Remix 2,2010,35yriY5xLKZUawwNZ05V6D,6A6eSLDcS2r7qT9ZFYSJlL,38
Makano,Reggaeton (Origen: reggaeton),Canción,Dejame Volver,2010,0gREOv5JoPzN420iAMTiKT,5HZ1zZVBzbTnKjIQH4GPSW,45
Zion,Reggaeton (Origen: reggaeton),Canción,Momentos,2010,1CipZ1ENdu4dydW5ktCxWa,3jsGdxB4wVM7iT4w21fPtH,39
Don Omar,Reggaeton (Origen: reggaeton),Canción,Huerfano De Amor,2010,38yQMFhgXnTFYOnxrbOv9v,6mGDfbDErYIJsmSewvccWm,39
J Alvarez,Reggaeton (Origen: reggaeton),Canción,Bailarina,2010,48QqeZHxf0nOE8nE852Qag,2ouuoBa8BHjrwj68lftlaZ,45
Wisin & Yandel,Reggaeton (Origen: reggaeton),Canción,Se Acabó,2010,54CZQ6sSSSLZkhGlCnBB1R,4mIV2lIQfHszWU28kvYtJ1,40
Arcángel,Reggaeton (Origen: reggaeton),Canción,Tengo Dinero,2010,05V5SfohkBu4CeoySHWXv2,2LMo7FDyGyObmktZd37fYj,40
Daddy Yankee,Reggaeton (Origen: reggaeton),Canción,Daría,2010,1j1TQQ90fgXq8wZNHPvwh2,1KvWjARMNg4QmqyLLb0zp1,36
Arcángel,Reggaeton (Origen: reggaeton),Canción,Piel Canela,2010,3L8EfSTZH2VwBPvIizDwq0,6pUSFwkVAxwCgoRzLlqRbQ,42
Las Ovejas Negras,Reggaeton (Origen: reggaeton),Canción,Punto G feat. Ñengo Flow,2010,5PgOKOLYQc5szsqAcsboBn,2oDWiGpSBFoPlu4GUe1fas,33
Joey Montana,Reggaeton (Origen: reggaeton),Canción,Tus Ojos No Me Ven,2010,09xnGXVrbniWV4mLTgGyD5,0ZGMMZDzC6vtlKmgAl0PHn,41
Joey Montana,Reggaeton (Origen: reggaeton),Canción,Ni Una Lagrima,2010,5Sr7Aamtn3YKaIhugqFGFi,10BqbyvQvltaEwWr9I67l8,35
Don Omar,Reggaeton (Origen: reggaeton),Canción,Luna Llena,2010,7yxWmnTrXBxevDiMf2qrqI,6mGDfbDErYIJsmSewvccWm,39
Wisin & Yandel,Reggaeton (Origen: reggaeton),Canción,Ya No Queda Amor,2010,43u7yMtR14y1MCvywfljFU,4mIV2lIQfHszWU28kvYtJ1,42
Son De Ak,Reggaeton (Origen: reggaeton),Canción,Los Buchaos,2010,124kUo97sUHMWNAzHxWFUS,6guiOlPppHlGwl1zvj68dR,36
Zion,Reggaeton (Origen: reggaeton),Canción,Si Fuera Por Mi,2010,4t23g756NUEuZqaqMYTK25,3jsGdxB4wVM7iT4w21fPtH,32
Plan B,Reggaeton (Origen: reggaeton),Canción,El Que la Hace la Paga,2010,0RuMon8kyq97vejc8mxIT2,4s9iYsrtBIvkZn5AEbUbl0,38
Crossfire,Reggaeton (Origen: reggaeton),Canción,Lady - Urban Spanglish Radio Edit,2010,0uErNiL2kgaiXZuBzcUeiI,1DaTasNz5sAIyr7OcPInM8,31
Daddy Yankee,Reggaeton (Origen: reggaeton),Canción,El Mejor de Todos los Tiempos,2010,0EubPjJxP9DSylUV9CdxXT,1KvWjARMNg4QmqyLLb0zp1,39
Canelita,Reggaeton (Origen: reggaeton),Canción,Baila Reggaeton,2010,32UujJ5Koje6OBstz7WN0O,722UGH9d5y2mRdRDB8Tz14,12
Divino,Reggaeton (Origen: reggaeton),Canción,Pobre Corazón (salsa Mix),2010,1vDKefeA0f4hMIIF7UX0u0,1VHQXZe5R5jNGFKKJm0jbH,49
Don Omar,Reggaeton (Origen: reggaeton),Canción,Good Looking,2010,6W3ZaOQ1pAw1WDMq1Ljibk,3F41BssbVvfFnh6DdDODeO,45
Daddy Yankee,Reggaeton (Origen: reggaeton),Canción,Grito Mundial,2010,6hgd8NFUXPbdqBiNXsu4mZ,1KvWjARMNg4QmqyLLb0zp1,39
Jansu,Reggaeton (Origen: reggaeton),Canción,El Rey de la Tarima,2010,4c5dDtb1cDnhLocRMdf6Qi,1Yk5kQDQ14egpDHAmkvkG4,19
Ñejo & Dalmata,Reggaeton (Origen: reggaeton),Canción,Volando Bajito,2010,5Wynalsgr34CB3KH13XjpM,3gTsbR5qCMocoTp36FarU0,38
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Un Pesito,2010,6E08eqqBlHr9rDPEVFFZ5V,6A6eSLDcS2r7qT9ZFYSJlL,43
Cosculluela,Reggaeton (Origen: reggaeton),Canción,De Noche y de Día,2010,5o711RR8kHz3QGVAwpNpOa,6A6eSLDcS2r7qT9ZFYSJlL,43
Fuego,Reggaeton (Origen: reggaeton),Canción,Que Buena Tu Ta (feat. Deevani),2010,2493uOH6ENgsxacNW5BNUQ,794VF2hKc5pG3VjapCZ7VG,40
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Invencible,2010,029qgWHs3fzCR0N9uUji8h,6A6eSLDcS2r7qT9ZFYSJlL,39
Arcángel,Reggaeton (Origen: reggaeton),Canción,Mundo De Colores,2010,7DkoTm0rYKvTiviM9a6ytq,2LMo7FDyGyObmktZd37fYj,38
Daddy Yankee,Reggaeton (Origen: reggaeton),Canción,Rumba y Candela,2010,3SzWJGjXf6OYAZIn8NAK2D,1KvWjARMNg4QmqyLLb0zp1,36
"Tito ""El Bambino""",Reggaeton (Origen: reggaeton),Canción,Flow Natural,2010,2OhYs5kq57o6n1YaJNmRth,5nFM7HjmcxHy3YdOAp3WG8,48
"Tito ""El Bambino""",Reggaeton (Origen: reggaeton),Canción,La Busco,2010,5gBsmaIExGDq9vJdDqgVKQ,5nFM7HjmcxHy3YdOAp3WG8,31
Plan B,Reggaeton (Origen: reggaeton),Canción,Intro,2010,36EPsuqdKsUE9WXhbyiTDr,4s9iYsrtBIvkZn5AEbUbl0,35
Don Chezina,Reggaeton (Origen: reggaeton),Canción,Vacilon,2010,4RSoYhMvBaQkxCXfq0kvjj,6bUq5lb8Dgl3whC2xgrXCl,44
Soca Man,Reggaeton (Origen: reggaeton),Canción,Pasame La Botella,2010,6LTOI3eGPZA8XDO01WNi9r,5w1HuEup6F58pGTTLiPZww,50
Reggaeton Latino Band,Reggaeton (Origen: regueton),Canción,Cuando Cuando Es,2010,4c5uxeh76Z6pUhBF7UWNfH,2IMOZZ3T3mcqm2NDWxlNXC,28
Fuego,Reggaeton (Origen: regueton),Canción,Me Enamore,2010,3UxNeVF5k5HTMeqWtZwvyM,794VF2hKc5pG3VjapCZ7VG,19
Daddy Yankee,Reggaeton (Origen: regueton),Canción,La Despedida,2010,32OpulO7YJ8EFhgMZK1Wpp,5PP28s72Cap8w9J131AGOQ,29
Don Chezina,Reggaeton (Origen: regueton),Canción,Vacilon,2010,53IIGfPH4ZcdbYnxjxqQCf,03WHTTKwln5dlEGxmHRnmk,42
Baby Lores,Reggaeton (Origen: regueton),Canción,Déjala ir II,2010,537XP54xFdAXpaArclKnTk,08Pk8rx2JdsJq4PIMGBjbP,28
Zion,Reggaeton (Origen: regueton),Canción,Arriesgando Mi Inocencia,2010,52w6eqU6CtJmW1GUktbdX7,3jsGdxB4wVM7iT4w21fPtH,27
Divino,Reggaeton (Origen: regueton),Canción,Si Tu Supieras,2010,1YcaD9NoIWO8Fy3LvlEaAu,1VHQXZe5R5jNGFKKJm0jbH,35
Willy Dj,Reggaeton (Origen: regueton),Canción,Fuck Regueton,2010,6gRwsNtqkVghX8dNQUxYvq,3UoIpbbxLYE9oZ1IOGXI6K,6
"Tito ""El Bambino""",Reggaeton (Origen: regueton),Canción,Mia,2010,5hJAJDw5ujQAAEn49YfDop,5nFM7HjmcxHy3YdOAp3WG8,30
Baby Lores,Reggaeton (Origen: regueton),Canción,Ahuu,2010,5r1ZN8cpKNJc2WDuNesRNh,0Y6BSQvOw6zz6fJmrf1j5h,22
Daddy Yankee,Reggaeton (Origen: regueton),Canción,Descontrol,2010,2XL9JWIdGO7woF4zgRoxV8,5PP28s72Cap8w9J131AGOQ,24
Eloy,Reggaeton (Origen: regueton),Canción,Rompe Consola,2010,36PEd9VsnfaRIBnHO6FFXZ,15SWdCksZvLQciZrc3zJ3F,7
LosDelGas,Reggaeton (Origen: regueton),Canción,No Es Regueton,2010,5kNcGP9aPDtbTDzIVoCXaS,6naWcoWeI0RxbaxF21LgtL,0
Willy Dj,Reggaeton (Origen: regueton),Canción,Fuck Regueton,2010,6kG6zU7DGtR2ARYFqc7Bmj,4hL7axfQZrebt13McYBC9c,1
Wisin & Yandel,Reggaeton (Origen: regueton),Canción,Irresistible,2010,7vbJxaesKU7qupKbPAnoJr,7rwRXW0jT1BRlAY4a14O2O,23
Omega,Reggaeton (Origen: regueton),Canción,Si Te Vas / Que Tengo Que Hacer - Original Remix,2010,5WlWKuu1y6yAdjy0TmzY9V,3fXkCXoChBSgA2VaM2dUoW,26
Orquesta Pelinkere,Reggaeton (Origen: regueton),Canción,Con la Música Moriré (Reguetón),2010,5f69ZijJbecfbE0DcH1Vzd,413P1enGMF6caTl2x9zSaS,0
Willy Dj,Reggaeton (Origen: regueton),Canción,Hard Soun From Spain - Fuck Regueton,2010,35MMyDmRmOaQVnNdNkMQIK,41YIT8vcFtyVzl86RPNfWF,2
Arcángel,Reggaeton (Origen: urbano latino),Canción,"Maliantes, Mujeres, Calles, Pistolas",2010,1B3wX6PKsr2faLnEKNYZg0,0Ir9pjPquUoYWVIqT2lZkx,41
J Alvarez,Reggaeton (Origen: urbano latino),Canción,Junto al Amanecer,2010,1JNN2Q02WOIJCpbOfBWIJa,2RMP3EAGBnjyou5xMYySCu,34
Don Omar,Reggaeton (Origen: urbano latino),Canción,Viviendo Con El Enemigo,2010,07keZaB7dS0W7STpLq1oad,3F41BssbVvfFnh6DdDODeO,34
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,Tomando El Control,2010,3DGKYMDOJg0EjQrerRHiUM,4mIV2lIQfHszWU28kvYtJ1,34
El Joey,Reggaeton (Origen: urbano latino),Canción,Si Tu La Ves (feat. Arcangel),2010,6ZE8vIXFdL0pylY3z1wpuF,7FQinA0C4w2YQxLuTE2Qwa,33
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,Tortura,2010,4m8GP3d8ESdo60txBjcqcI,4mIV2lIQfHszWU28kvYtJ1,35
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,Fever,2010,5LgvrIHUVbD0UdfinJ1z7U,4mIV2lIQfHszWU28kvYtJ1,33
Shelow Shaq,Reggaeton (Origen: urbano latino),Canción,Coche Bomba - Remix,2010,4qDr1Mhb2zW1pJDHECHzfv,7a89xF0MPKy9bQCxYRBHrZ,25
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,Tumbao,2010,7sllZB4zUMybDitfKwMuAV,4mIV2lIQfHszWU28kvYtJ1,32
Daddy Yankee,Reggaeton (Origen: urbano latino),Canción,Viejas Andadas,2010,0JsFVrtUObwoNswP5h4ZA3,1KvWjARMNg4QmqyLLb0zp1,25
Don Omar,Reggaeton (Origen: urbano latino),Canción,Viviendo Con El Enemigo,2010,6e1GVODwIB2IYkSxKDsKzv,6mGDfbDErYIJsmSewvccWm,30
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,Intro Los Vaqueros,2010,6gGmhLa7A6fNQ563ajQE4E,4mIV2lIQfHszWU28kvYtJ1,28
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,Se Viste,2010,23JpCTfUeXhDpJevEVsIhP,4mIV2lIQfHszWU28kvYtJ1,29
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,La Reunión De Los Vaqueros,2010,3SXFLkuJS0JOMrZNGF25dx,1vA5aek9crSUW6CrOrdHj3,27
J Alvarez,Reggaeton (Origen: urbano latino),Canción,En La Busqueda,2010,3K3aoqjHgAUDC3J6eh1whN,2ouuoBa8BHjrwj68lftlaZ,24
Heróis de Brinquedo,Reggaeton (Origen: urbano latino),Canción,Rock latino,2010,7qZsFCvItgH953kWY7FmyB,1jhWyBzp5eLDNY6zYIBfPx,0
Chino & Nacho,Reggaeton (Origen: urbano latino),Canción,Dentro De Mí - Remastered 2020,2010,3GXeAPEwmL5XR0ROd2jyHA,1jvT4Qd5XX0D3VEEX9IAam,11
Arcángel,Reggaeton (Origen: urbano latino),Canción,Si Te Veo,2010,1bygb6OBuPpPgYOujEkdtj,2LMo7FDyGyObmktZd37fYj,22
Arcángel,Reggaeton (Origen: urbano latino),Canción,Me Enloquece Bailando,2010,6rBZ0dPQ4oD7nJ1HdulBjw,0Ir9pjPquUoYWVIqT2lZkx,22
J Alvarez,Reggaeton (Origen: urbano latino),Canción,Vivir Sin Ti,2010,5zg5HJqGiG20ueZfQVCw9m,2ouuoBa8BHjrwj68lftlaZ,24
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,Vamos A Pasarla Bien,2010,7bWDmIEoOv5oT6ikej1LkZ,7rwRXW0jT1BRlAY4a14O2O,11
Vakero,Reggaeton (Origen: urbano latino),Canción,Ponte a Trabajar,2010,3hzycV1A30Ux7DAG8N83Rn,2BqszHlYLuU1X8HbvTY0O5,15
Ivy Queen,Reggaeton (Origen: urbano latino),Canción,Acercate,2010,4cQKjzRHcf5ufrXLjrrklJ,5STaYfYmc3Z5bfYAUkZS0e,10
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,Zun Zun Rompiendo Caderas,2010,1kgd7gQeEARCz0DxdDOIOy,5IceRNHbzLqosWnF8QGtHT,20
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,Reverse Cowgirl,2010,3rDpPa1pV9vdhylWr1ASWK,7rwRXW0jT1BRlAY4a14O2O,14
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,Tumbao,2010,7rGrchjeGMJ1gAqn0A4Nf2,1vA5aek9crSUW6CrOrdHj3,8
Los Latinos,Reggaeton (Origen: urbano latino),Canción,Mundo Oculto,2010,05PEFavPv5dQJtdEihworQ,5kOMMv6f8qdpZwSeHEZIX4,0
Arcángel,Reggaeton (Origen: urbano latino),Canción,Se Va,2010,3EQGhnyFhsNKOit7zUDYUq,6pUSFwkVAxwCgoRzLlqRbQ,23
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,Perreame,2010,09Bbzwqg8PnvyZn3DFA73j,78dvAMnh1D4Q1uytQVj7np,18
Don Miguelo,Reggaeton (Origen: urbano latino),Canción,7 Locas - Original Dembow Version,2010,73eAxTlTnWkgiWJRxIRoLM,2DQro1SeYSE5C7vpXCXL4k,4
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,"Pam Pam - Live At Coliseo Jose Miguel Agrelot, Puerto Rico/2010",2010,7iVcCcgS3SlfPvOgyg9ANf,1vA5aek9crSUW6CrOrdHj3,10
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,"Descará - Live At Coliseo Jose Miguel Agrelot, Puerto Rico/2010",2010,0x6FmgxyNWrAIrN8m4wwmI,7rwRXW0jT1BRlAY4a14O2O,7
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,"Te Siento - Live At Coliseo Jose Miguel Agrelot, Puerto Rico/2010",2010,4e0oz3RLqd0kyJEZOccGTY,7rwRXW0jT1BRlAY4a14O2O,14
Wisin & Yandel,Reggaeton (Origen: urbano latino),Canción,"Noche De Sexo - Live At Coliseo Jose Miguel Agrelot, Puerto Rico/2010",2010,51wpJdwpAUfydLFOMHOBUW,1vA5aek9crSUW6CrOrdHj3,9
KEVIN ROLDAN,Reggaeton (Origen: perreo),Canción,Macatraca (Contra la Pared),2010,099y5MPXiyQ8WRHe5SjVWP,581zpDfSiYnTTdTr2Diaap,35
Latin Fresh,Reggaeton (Origen: perreo),Canción,Zoom,2010,0vSxdYAqJW6CnQqK0zrrC3,2MNZDhmHAwNBwdqIMfM9BT,44
Dj Peligro,Reggaeton (Origen: perreo),Canción,Coqueta,2010,07JTZdpedx6NlI1sw2Tsol,5yPuCUN032rfGXUdHjK1T0,39
Plan B,Reggaeton (Origen: perreo),Canción,Nos Fuimos Discoteca,2010,0ez8ii9vCGYOzO69vKC6aD,6sP9EP1NyetOJxmuw2ErZi,47
Jiggy Drama,Reggaeton (Origen: perreo),Canción,Contra la pared,2010,1B4hZ46vjQSZLl6yzikTUO,5bA545sanuVFAS0HmUgAmM,36
Plan B,Reggaeton (Origen: perreo),Canción,Hace Calor,2010,3dbn4l01aR36JAzEMG4jbY,0TqjrtKrLRx2leor7IRJ8r,43
