Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Popularidad,Biografia_Resumen,Playcount_LastFM,Listeners_LastFM
Timber Timbre,Reggaeton (Origen: indie),Canción,Demon Host,2010,2cLWFWkZzgHWYajumPFUbg,7t6fNvHKwE0vweK9Pep0Me,51,"Timber Timbre is a Canadian folk music project formed in 2005 and featuring Mika Posen, Simon Trottier and Taylor Kirk.

Their debut album ""Cedar Shakes"", recorded in a farm house near Bobcaygeon, Ontario, was released in 2006. Hence the moniker Timber Timbre as an ode to the surroundings and the warm haunting sound of the album.

2007 saw the release of Medicinals, an album recorded by Kirk in his empty Toronto apartment. ""Cedar Shakes came from driving around in fields <a href=""https://www.last.fm/music/Timber+Timbre"">Read more on Last.fm</a>",8759070,439099
Matt Duncan,Reggaeton (Origen: indie),Canción,Beacon,2010,4BzL0gi5iQAEoXvISn95Md,4LM0yqf8JFZM0znpmZ3N2x,62,"Matt Duncan is a classically trained instrumentalist and songwriter in his mid-20s. “Beacon” features smooth vocals, brilliant lyrics, and jawdropping syncopation, perfect pitch and painstaking, perfectionistic production.

A Lafayette High School alum, Duncan first gained attention with the now-defunct Parlour Boys, one of Lexington’s strongest indie bands in decades. A pianist and vocalist who also plays bass, guitar and a number of other instruments, Duncan is also a member of the band Englishman, a project of Andrew English. <a href=""https://www.last.fm/music/Matt+Duncan"">Read more on Last.fm</a>",1587517,193770
Two Door Cinema Club,Reggaeton (Origen: indie),Canción,I Can Talk,2010,4N90LxX3kWhJucPQ484Qy9,6n8oS6u5qw6xWGT754V1M6,57,"Two Door Cinema Club is a Bangor and Donaghadee, Northern Ireland, UK, electropop / alternative band, formed 2007, consisting of Alex Trimble (vocals, guitar), Kevin Baird (bass, vocals), Sam Halliday (guitar, vocals) and, live only, Benjamin Thompson (drums) and Jacob Berry (keyboard, vocals).  The band has released four albums: ""Tourist History"" (2010), ""Beacon"" (2012), ""Gameshow"" (2016), and ""False Alarm"" (2019).

The band's name resulted from Halliday's mispronunciation of the local cinema's name, Tudor Cinema. <a href=""https://www.last.fm/music/Two+Door+Cinema+Club"">Read more on Last.fm</a>",125795937,3056541
Crystal Castles,Reggaeton (Origen: indie),Canción,Empathy,2010,2R3heksil8zmzSFUwYQIPC,5B2ipvFV27t5lUQYcNkTpg,68,"Crystal Castles was an experimental /  electronic band which formed in 2003 in Toronto, Ontario, Canada and last consisted of Ethan Kath and vocalist Edith Frances. Alice Glass served as the lead vocalist for the group since its foundation until 2014.

They are named after the lyrics ""The fate of the world is safe in Crystal Castles"" and ""Crystal Castles, the source of all power"" both from the theme song for She-Ra's fortress. They are known for their melancholic lo-fi sound and their explosive live shows. <a href=""https://www.last.fm/music/Crystal+Castles"">Read more on Last.fm</a>",230137120,3066480
Crystal Fighters,Reggaeton (Origen: indie),Canción,Plage,2010,6y4sVRatVOlBRref1xUqTO,23XRO9y7lYZepyAiD4RUSq,49,"Crystal Fighters are an English/Spanish electronic band who formed in London, United Kingdom in 2007. They are Sebastian (lead vocals, guitar), Gilbert (electronics, guitars, txalaparta, percussion) and Graham (guitar/ txalaparta), plus Laure and Mimi (vocals).

Sebastian and Gilbert were old friends, while Gilbert and Graham met through various parties. The three then began making music under various guises before being joined by Laure and Mimi. The band now play with a live drummer. <a href=""https://www.last.fm/music/Crystal+Fighters"">Read more on Last.fm</a>",16183606,805011
Brandon Flowers,Reggaeton (Origen: indie),Canción,Only The Young,2010,4pOnY9Cbr16N3w0yDkUae8,7zKxFkMyehmw9u3MhLpMPK,58,"Brandon Richard Flowers (born June 21, 1981 in Henderson, Nevada, United States) is the vocalist and keyboardist in the American indie rock band The Killers. His older brother Shane, got him into music like The Smiths and Morrissey, The Beatles, The Cure and Queen. Brandon has played with U2, New Order, Pet Shop Boys, Bruce Springsteen and other bands of which he is a fan. 

While listening to the radio in his car after his very first college class, Flowers heard the song ""Changes"" by David Bowie. <a href=""https://www.last.fm/music/Brandon+Flowers"">Read more on Last.fm</a>",16390918,617564
Miss Caffeina,Reggaeton (Origen: indie),Canción,Capitán,2010,6yAE92QFdMZbQ4SRGU1up2,4jrxwE2NqPv9FmFJylPeH5,36,"Miss Caffeina is an indie pop/rock group from Spain, formed in Madrid in 2006. The band's current lineup features Alberto Jiménez (vocals), Sergio Sonal (guitar), Antonio Poza (bass), and Álvaro Navarro (keyboards).
The band initially gained recognition with a series of EPs, including Destrucción Creativa (2007), En Marte y Carrusel (2008), and Magnética (2009). Their debut full-length album, Imposibilidad del fenómeno, was released in 2010. <a href=""https://www.last.fm/music/Miss+Caffeina"">Read more on Last.fm</a>",1948667,64200
Supersubmarina,Reggaeton (Origen: indie),Canción,Eres,2010,7MG5lD0TBjyAL2xGiSec4q,3LYJiRx2vxocmtxikxcnKN,34,"Supersubmarina is a Spanish indie pop-rock band from Baeza (Jaen). <a href=""https://www.last.fm/music/Supersubmarina"">Read more on Last.fm</a>",3004060,70914
Pedro Guerra,Reggaeton (Origen: indie),Canción,Toda una Vida,2010,5wQsHNpF6ivosuimPeo7Lo,7bouBjt8bjfdAHivSZ6hui,51,"Pedro Manuel Guerra Mansito (2 June 1966 in Güímar, Teneriffe) is a singer-songwriter from the Spanish Canary Islands.

:: Biography

Guerra is the son of Pedro Guerra Cabrera, the first President of the Canarian parliament. He began studying the guitar at the Conservatorio Superior de Música de Tenerife.

At the age of 16 he started to perform regularly throughout Tenerife. At 18 he moved to the university city San Cristóbal de La Laguna, where he met fellow singer-songwriters Andrés Molina <a href=""https://www.last.fm/music/Pedro+Guerra"">Read more on Last.fm</a>",1469955,116004
Supersubmarina,Reggaeton (Origen: indie),Canción,Electrico,2010,3nbfNgu1peZQuoLOiefxqf,3LYJiRx2vxocmtxikxcnKN,34,"Supersubmarina is a Spanish indie pop-rock band from Baeza (Jaen). <a href=""https://www.last.fm/music/Supersubmarina"">Read more on Last.fm</a>",3004060,70914
Broken Bells,Reggaeton (Origen: indie),Canción,The High Road,2010,5cwN1htZyoWqZCc33f3RfE,0X7WyEKdm5afGj1fmD7Blx,63,"Broken Bells is an American indie rock duo which formed in 2009 in Los Angeles. The band consists of James Mercer (vocals, guitar) and Brian ""Danger Mouse"" Burton (multiple instruments, production). Mercer is a member of the indie rock band The Shins and Burton is a member of Gnarls Barkley and Dangerdoom, as well as being a respected producer for such artists as Beck, Gorillaz, The Rapture and The Black Keys.

The debut self-titled album by Broken Bells was released on Columbia Records on March 9, 2010. <a href=""https://www.last.fm/music/Broken+Bells"">Read more on Last.fm</a>",34449323,1379814
Arcade Fire,Reggaeton (Origen: indie),Canción,Ready to Start,2010,33X9miK4Xz7pNeVrc9RITG,0gkUcpkyW2SXN49Yktkf6F,59,"Arcade Fire is a Canadian indie rock band formed in Montreal, Quebec, Canada in 2001. The band consists of Win Butler (vocals, guitar, piano), Régine Chassagne (vocals, accordion, keyboards, hurdy gurdy, drums), Richard Reed Parry (bass, guitar), Tim Kingsbury (bass), and Jeremy Gara (drums). Montreal percussionist Dane Mills performed on the EP and in early live shows.  Will Butler (keyboards, guitar) left the band in 2022 to focus on his solo career. The touring band includes horn players and violinists. <a href=""https://www.last.fm/music/Arcade+Fire"">Read more on Last.fm</a>",222581489,3064291
Depedro,Reggaeton (Origen: indie),Canción,Diciembre,2010,2cIW52z25MLXc54EIhTR5F,7IEXvvLnDHXiwHkEVM6PX3,37,"Depedro is the musical project of Spanish singer and guitar player Jairo Zavala, who is also front man and co-founder of rock band Vacazul. In its first album (also named Depedro, published in 2008) Depedro mixes latin music, border fusion, folk, african music, reggae and blues.

Depedro's official site is at http://www.myspace.com/myspacedepedro <a href=""https://www.last.fm/music/DePedro"">Read more on Last.fm</a>",924525,48032
Supersubmarina,Reggaeton (Origen: indie),Canción,Elastica Galactica,2010,5HBab5WIBKbth2WWWZzw2z,3LYJiRx2vxocmtxikxcnKN,37,"Supersubmarina is a Spanish indie pop-rock band from Baeza (Jaen). <a href=""https://www.last.fm/music/Supersubmarina"">Read more on Last.fm</a>",3004060,70914
Love of Lesbian,Reggaeton (Origen: indie),Canción,Lucha De Gigantes,2010,1ozbWlTQASs311dSO5R6vp,3qcDcfZbiPkWFXwobesAvy,56,"Love of Lesbian is a Spanish indie pop/indie rock band. 
In the beginning they were influenced by The Cure (they toured with them in Spain), Radiohead and R.E.M. Today they have the personal Love of Lesbian sound and style. There is always a ""sold out"" at all their concerts. Each one is a mix of party-concert-celebration-catharsis.
Santi Balmes, the writer, main composer, and charismatic leader brings to each album excellent lyrics of high composition, from a delicious sense of humour to deep emotional tales. <a href=""https://www.last.fm/music/Love+of+Lesbian"">Read more on Last.fm</a>",11270313,174459
Varry Brava,Reggaeton (Origen: indie),Canción,No Gires,2010,0p7ZuCBUYIDG8uDVOTHXvq,0kGIovQDoVKJmHxV88lEzb,39,"Varry Brava is a Spanish indie pop band created in Murcia in 2009. It is formed by Óscar Ferrer (vocals), Aarön Sáez (keyboards) and Vicente Illescas (guitar).

The group's name comes from joining Barry White's name with the song ""Brava"", by Italian singer Mina Mazzini.

In 2009 their self-produced demo Ídolo was released. Composed of ten songs, in which they show a clear influence of the Spanish pop of the 1980s, such as Nacha Pop and Radio Futura, spiced with disco music and reminiscences of new romantic. <a href=""https://www.last.fm/music/Varry+Brava"">Read more on Last.fm</a>",594923,28254
Gorillaz,Reggaeton (Origen: indie),Canción,Empire Ants (feat. Little Dragon),2010,3a6PN6BRB8PP3ms48s7kU1,2dIGnmEIy1WZIcZCFSj6i8,72,"Gorillaz is a British virtual band created in 1998 by musician Damon Albarn and artist Jamie Hewlett. The band currently consists of four animated members: Murdoc Niccals (bass guitar) who formed the band, 2-D (lead vocals, keyboards), Noodle (guitar, vocals) and Russel Hobbs (drums and percussion). Their fictional universe is explored through animated music videos, interviews and animated shorts. In reality, Albarn is the only permanent musical contributor and often collaborates with other musicians. <a href=""https://www.last.fm/music/Gorillaz"">Read more on Last.fm</a>",482769687,6653491
Phantogram,Reggaeton (Origen: indie),Canción,When I'm Small,2010,3y1EzRl5UEQxxd1f6Bv2aN,26ANkY7nHVPBsnJ7Do5A0c,70,"Phantogram are a trip-hop/psych-pop duo which formed in 2007 in Saratoga Springs, New York, USA. The band consists of Sarah Barthel (vocals, keyboards) and Joshua Carter (guitar, vocals). Their music can be described as a culmination of unique street beat rhythms, psychedelic melodies and organic textures. The band practices and writes music in an out-of-town farm called Harmony Lodge. The group name was inspired by the optical illusion called phantogram. <a href=""https://www.last.fm/music/Phantogram"">Read more on Last.fm</a>",44910844,1831325
Niños Mutantes,Reggaeton (Origen: indie),Canción,Errante (Canción Mutante),2010,5Bi5BqXkwQMLBRNTn6lRpR,78VtJWwL7YOxFZ0mMoVwGp,41,"Spanish Indie Pop band from Granada (Spain)formed in 1994 with 3 members (Nani Castañeda on drums, Migue Haro on bass and J.A. Martínez on lyrics and guitar). Nani and Migue were members of the band Mama Baker.
The name comes from an art exhibition in Berlin with rare pics of Mutant Children.
Their influences are The Beatles, Los Brincos, David Bowie, P.j. Harvey, dEUS, Suede, Surfin Bichos, Pixies ...
A band with their own personality and original ideas, deep lyrics and powerful guitars and drums. 
 <a href=""https://www.last.fm/music/+noredirect/Ni%C3%B1os+Mutantes"">Read more on Last.fm</a>",1138984,44250
Lori Meyers,Reggaeton (Origen: indie),Canción,¿A-ha Han Vuelto?,2010,1adOxjns5k5HgR9XvgPpXJ,1Wi1sETJXV9JCa5KycSuBA,41,"Lori Meyers is an spanish indie pop band from Loja, Spain, formed in 1998. The members are Antonio López, Julián Méndez, Alejandro Méndez and Alfredo Núñez. 

First their style was asociated to the noise pop of Los Planetas (Granada is near Loja) but later the 60s revival influences with rich vocal harmonies related them with other granadian band: Los Ángeles.

They have produced two EPs, La Caza and Ya Lo Sabes, and three LPs, ""Viaje De Estudios"", ""Hostal Pimodan"" and ""Cronolánea"".

More information on www.lorimeyers.net <a href=""https://www.last.fm/music/Lori+Meyers"">Read more on Last.fm</a>",4109591,120236
Sufjan Stevens,Reggaeton (Origen: indie),Canción,Futile Devices,2010,4Zts9erRexAxILn5XjSwUN,4kRMCapj9nEyBWnM0kc9OX,62,"Sufjan Stevens (Born July 1, 1975) is an American musician, songwriter, and multi-instrumentalist from Petoskey, Michigan. He is known for his lyrically focused and instrumentally rich songs that often relate to faith and family. He has enjoyed wide critical success in the United States. He is considered part of the folk revival through indie pop, but his influences are very broad, including experimental electronic music, the jazz of Vince Guaraldi, and the academic minimalism of Steve Reich and Philip Glass.  <a href=""https://www.last.fm/music/Sufjan+Stevens"">Read more on Last.fm</a>",288105376,3767506
Supersubmarina,Reggaeton (Origen: indie),Canción,Ana,2010,03WR6VvEY3EIJklavG72LY,3LYJiRx2vxocmtxikxcnKN,42,"Supersubmarina is a Spanish indie pop-rock band from Baeza (Jaen). <a href=""https://www.last.fm/music/Supersubmarina"">Read more on Last.fm</a>",3004060,70914
Dr. Dog,Reggaeton (Origen: indie),Canción,Where'd All the Time Go?,2010,0UV5zxRMz6AO4ZwUOZNIKI,16XswZ18xhMs8qUTN51mRl,81,"Dr. Dog is a indie rock group from Philadelphia, Pennsylvania which formed in 1999. The current lineup consists of Scott ""Taxi"" McMicken (vocals, guitar), Toby ""Tables"" Leaman (vocals, bass),  Zach ""Text"" Miller (keyboards, guitar), Frank ""Thanks"" McElroy (guitar) and Eric ""Teach"" Slick (drums).

""There's a little folk, blues, indie rock, soul, bluegrass--and a whole lot of down-home harmonizing. It conjures images of old friends sitting on a porch swapping instruments and just letting the tape recorder run."" - Doug Wallen <a href=""https://www.last.fm/music/Dr.+Dog"">Read more on Last.fm</a>",36049435,1732807
Two Door Cinema Club,Reggaeton (Origen: indie),Canción,Something Good Can Work,2010,67SrO8B3O8iUq0AmEh0VzJ,6n8oS6u5qw6xWGT754V1M6,62,"Two Door Cinema Club is a Bangor and Donaghadee, Northern Ireland, UK, electropop / alternative band, formed 2007, consisting of Alex Trimble (vocals, guitar), Kevin Baird (bass, vocals), Sam Halliday (guitar, vocals) and, live only, Benjamin Thompson (drums) and Jacob Berry (keyboard, vocals).  The band has released four albums: ""Tourist History"" (2010), ""Beacon"" (2012), ""Gameshow"" (2016), and ""False Alarm"" (2019).

The band's name resulted from Halliday's mispronunciation of the local cinema's name, Tudor Cinema. <a href=""https://www.last.fm/music/Two+Door+Cinema+Club"">Read more on Last.fm</a>",125795937,3056541
Supersubmarina,Reggaeton (Origen: indie),Canción,Niebla,2010,4Qkh07f6VAwhYPGBa37cXa,3LYJiRx2vxocmtxikxcnKN,44,"Supersubmarina is a Spanish indie pop-rock band from Baeza (Jaen). <a href=""https://www.last.fm/music/Supersubmarina"">Read more on Last.fm</a>",3004060,70914
Patrick Watson,Reggaeton (Origen: indie),Canción,Sit Down Beside Me,2010,5tXoYnudQeaCQjWmFjP5f5,5f8noWgdNXqCoU0Akt9u5E,63,"Patrick Watson (born 1979 in Montreal, Quebec, Canada) is a Canadian singer-songwriter, whose blend of cabaret pop and classical music influences with indie rock has been compared to Rufus Wainwright, Jeff Buckley and Andrew Bird.

Singing in the local church choirs as a boy, studying jazz and classical piano performance, composition, and arrangement, and singing and playing keyboards in the ska band Gangster Politics in high school. Watson left the band after graduating and began to explore other types of music <a href=""https://www.last.fm/music/Patrick+Watson"">Read more on Last.fm</a>",35158917,1632162
Sidecars,Reggaeton (Origen: indie),Canción,Fan de Ti,2010,72wP8pJImrhxGA6f6F91gk,2BD9LwRn9y3TjBJ3f3I0Fa,48,"Sidecars es un nuevo y joven cuarteto madrileño que aúna la tradición del buen pop-rock en castellano con una admirable habilidad para fabricar melodías de alto valor comercial, sin renunciar a un buen tanto por ciento de honestidad y una pizca de pícara chulería. El grupo está liderado por Juancho -guitarra y voz- y se completa con Manu -guitarra-, Hierbas -bajo- y Ruli -batería-. Sidecars son herederos de la saga que arrancó con Tequila y su genuina fijación “stoniana” <a href=""https://www.last.fm/music/Sidecars"">Read more on Last.fm</a>",661138,34322
Two Door Cinema Club,Reggaeton (Origen: indie),Canción,What You Know,2010,4JHg4nNYUJQ5HULcCmI18R,6n8oS6u5qw6xWGT754V1M6,75,"Two Door Cinema Club is a Bangor and Donaghadee, Northern Ireland, UK, electropop / alternative band, formed 2007, consisting of Alex Trimble (vocals, guitar), Kevin Baird (bass, vocals), Sam Halliday (guitar, vocals) and, live only, Benjamin Thompson (drums) and Jacob Berry (keyboard, vocals).  The band has released four albums: ""Tourist History"" (2010), ""Beacon"" (2012), ""Gameshow"" (2016), and ""False Alarm"" (2019).

The band's name resulted from Halliday's mispronunciation of the local cinema's name, Tudor Cinema. <a href=""https://www.last.fm/music/Two+Door+Cinema+Club"">Read more on Last.fm</a>",125795937,3056541
Supersubmarina,Reggaeton (Origen: indie),Canción,Chas! Y Aparezco A Tu Lado,2010,6T1071kNui4EUABJp4Dciq,3LYJiRx2vxocmtxikxcnKN,46,"Supersubmarina is a Spanish indie pop-rock band from Baeza (Jaen). <a href=""https://www.last.fm/music/Supersubmarina"">Read more on Last.fm</a>",3004060,70914
Crystal Castles,Reggaeton (Origen: indie),Canción,Suffocation,2010,12oxsGACfwMozi4nK9noGQ,5B2ipvFV27t5lUQYcNkTpg,72,"Crystal Castles was an experimental /  electronic band which formed in 2003 in Toronto, Ontario, Canada and last consisted of Ethan Kath and vocalist Edith Frances. Alice Glass served as the lead vocalist for the group since its foundation until 2014.

They are named after the lyrics ""The fate of the world is safe in Crystal Castles"" and ""Crystal Castles, the source of all power"" both from the theme song for She-Ra's fortress. They are known for their melancholic lo-fi sound and their explosive live shows. <a href=""https://www.last.fm/music/Crystal+Castles"">Read more on Last.fm</a>",230137120,3066480
IZAL,Reggaeton (Origen: indie),Canción,Eco,2010,4Bk5Q65UbeAShxoQmddBYR,6i0Twqpwao7f4jasg9FQVU,47,"In 2010, with more than 10 years of experience behind them, five musicians came together to form IZAL. A band made up of Mikel Izal (vocals, composer, guitar, ukulele), Emanuel Pérez “Gato” (bass), Alejandro Jordá (drums and percussion), Alberto Pérez (guitar, Lap Steel) and Iván Mella (piano, keyboards, synthesizers ). Coming from different geographical locations, Madrid became their ""base"" of operations, which is why the name ""Madrid band"" has been highly honored since its inception, despite not being originally from the capital. <a href=""https://www.last.fm/music/Izal"">Read more on Last.fm</a>",2990503,64907
Lori Meyers,Reggaeton (Origen: indie),Canción,Mi Realidad,2010,0m0HaxmlOkzi0Yby75t2o7,1Wi1sETJXV9JCa5KycSuBA,54,"Lori Meyers is an spanish indie pop band from Loja, Spain, formed in 1998. The members are Antonio López, Julián Méndez, Alejandro Méndez and Alfredo Núñez. 

First their style was asociated to the noise pop of Los Planetas (Granada is near Loja) but later the 60s revival influences with rich vocal harmonies related them with other granadian band: Los Ángeles.

They have produced two EPs, La Caza and Ya Lo Sabes, and three LPs, ""Viaje De Estudios"", ""Hostal Pimodan"" and ""Cronolánea"".

More information on www.lorimeyers.net <a href=""https://www.last.fm/music/Lori+Meyers"">Read more on Last.fm</a>",4109591,120236
Beach House,Reggaeton (Origen: indie),Canción,Silver Soul,2010,56eSclzdXaWU5jOJ7DX7Vp,7ejB3MHdDNcY3GzRsQRAHs,68,"Beach House is an American dream pop band that formed in 2004 in Baltimore, Maryland, United States. The group consists of Victoria Legrand  (vocals, organ), who is the niece of French composer Michel Legrand, Alex Scally, and as of 2022,  James Barone (drums, percussion, bass guitar). Since their formation, the group has released eight studio albums: Beach House (2006), Devotion (2008), Teen Dream (2010), Bloom (2012), Depression Cherry (2015), Thank Your Lucky Stars (2015), 7 (2018), and Once Twice Melody (2022). <a href=""https://www.last.fm/music/Beach+House"">Read more on Last.fm</a>",232867750,3384232
Supersubmarina,Reggaeton (Origen: indie),Canción,LN Granada,2010,0eTNLIPzgURsXMdgX4cdpJ,3LYJiRx2vxocmtxikxcnKN,54,"Supersubmarina is a Spanish indie pop-rock band from Baeza (Jaen). <a href=""https://www.last.fm/music/Supersubmarina"">Read more on Last.fm</a>",3004060,70914
Supersubmarina,Reggaeton (Origen: indie),Canción,Supersubmarina,2010,7ixB1UqUrV87IvACFJayXy,3LYJiRx2vxocmtxikxcnKN,54,"Supersubmarina is a Spanish indie pop-rock band from Baeza (Jaen). <a href=""https://www.last.fm/music/Supersubmarina"">Read more on Last.fm</a>",3004060,70914
Roar,Reggaeton (Origen: indie),Canción,Christmas Kids,2010,7KV7xwHTJbzbwGQEHLIzR8,0YjOnBY0FRufcmNBTzWTgX,75,"There are currently four artists using the name Roar:
(1) An American art pop musician
(2) A Croatian punk band
(3) A Persian-German funk rock band
(4) A Canadian pop band

1.) Roar is the art pop project of singer and multi-instrumentalist Owen Evans from Phoenix, Arizona, United States. Evans started the group in 2010 following the dissolution of his former band Asleep in the Sea. Although he is often the sole performer in his recordings, he is supported live by a large roster of musicians, including members of Andrew Jackson Jihad. <a href=""https://www.last.fm/music/Roar"">Read more on Last.fm</a>",37720980,1457725
Crystal Castles,Reggaeton (Origen: indie),Canción,Baptism,2010,4GJTbB9FNkGkvf6dxl22qW,3VsZ5nZGgyH30IDaCP4GeQ,56,"Crystal Castles was an experimental /  electronic band which formed in 2003 in Toronto, Ontario, Canada and last consisted of Ethan Kath and vocalist Edith Frances. Alice Glass served as the lead vocalist for the group since its foundation until 2014.

They are named after the lyrics ""The fate of the world is safe in Crystal Castles"" and ""Crystal Castles, the source of all power"" both from the theme song for She-Ra's fortress. They are known for their melancholic lo-fi sound and their explosive live shows. <a href=""https://www.last.fm/music/Crystal+Castles"">Read more on Last.fm</a>",230137120,3066480
Foals,Reggaeton (Origen: indie),Canción,Spanish Sahara,2010,3SJWVMRwk5z4Uaff7kGs0d,670h50t8E3LwP2bGqxGi6E,52,"Foals are a rock band which formed in Oxford, England in 2005.  The band consists of Yannis Philippakis (vocals, guitar), Jimmy Smith (guitar), Walter Gervers (bass) and Jack Bevan (drums). The band has released seven albums: ""Antidotes"" (2008), ""Total Life Forever"" (2010), ""Holy Fire"" (2013), ""What Went Down"" (2015), ""Everything Not Saved Will Be Lost, Pt. 1"" (2019) , ""Everything Not Saved Will Be Lost, Pt. 2"" (2019), and ""Life is Yours"" (2022). In January 2018, it was announced that Walter Gervers (bass) was leaving the band. <a href=""https://www.last.fm/music/Foals"">Read more on Last.fm</a>",109686793,2103167
Crystal Castles,Reggaeton (Origen: indie),Canción,Celestica,2010,325ZSqJnyHg6SNUQQZamVb,3VsZ5nZGgyH30IDaCP4GeQ,57,"Crystal Castles was an experimental /  electronic band which formed in 2003 in Toronto, Ontario, Canada and last consisted of Ethan Kath and vocalist Edith Frances. Alice Glass served as the lead vocalist for the group since its foundation until 2014.

They are named after the lyrics ""The fate of the world is safe in Crystal Castles"" and ""Crystal Castles, the source of all power"" both from the theme song for She-Ra's fortress. They are known for their melancholic lo-fi sound and their explosive live shows. <a href=""https://www.last.fm/music/Crystal+Castles"">Read more on Last.fm</a>",230137120,3066480
LCD Soundsystem,Reggaeton (Origen: indie),Canción,I Can Change,2010,2073QOEC8rBtSyTsRyaWiP,4hnqM0JK4CM1phwfq1Ldyz,60,"
LCD Soundsystem is the musical project of producer James Murphy, co-founder of dance-punk label DFA Records. Formed in 2001 in New York City, New York, United States, the music of LCD Soundsystem can also be described as a mix of alternative dance and post punk, along with elements of disco and other styles. 

During the band's final years, Murphy was accompanied by Al Doyle (guitar, percussion -- also of Hot Chip), Tyler Pope (!!! / Out Hud) (bass), Nancy Whang (keyboards) and Pat Mahoney (drums). <a href=""https://www.last.fm/music/LCD+Soundsystem"">Read more on Last.fm</a>",92714306,2386543
Crystal Castles,Reggaeton (Origen: indie),Canción,Empathy,2010,3nr48k3PusaqNAmWaGcdfv,3VsZ5nZGgyH30IDaCP4GeQ,55,"Crystal Castles was an experimental /  electronic band which formed in 2003 in Toronto, Ontario, Canada and last consisted of Ethan Kath and vocalist Edith Frances. Alice Glass served as the lead vocalist for the group since its foundation until 2014.

They are named after the lyrics ""The fate of the world is safe in Crystal Castles"" and ""Crystal Castles, the source of all power"" both from the theme song for She-Ra's fortress. They are known for their melancholic lo-fi sound and their explosive live shows. <a href=""https://www.last.fm/music/Crystal+Castles"">Read more on Last.fm</a>",230137120,3066480
Tame Impala,Reggaeton (Origen: indie),Canción,Solitude Is Bliss,2010,2a2MbiJN2skOxohykOVcss,1DNSmmRLfv97Yjq7MTFWng,60,"Tame Impala is the psychedelic music project of Australian multi-instrumentalist Kevin Parker, blending rock, pop, and electronic sounds with lush production and introspective lyrics. Their discography includes Innerspeaker (2010), Lonerism (2012), Currents (2015), The Slow Rush (2020), and Deadbeat (2025). As a touring act, Tame Impala consists of Parker (guitar, vocals), Dominic Simper (guitar, synthesiser), Jay Watson (synthesiser, vocals, guitar), Cam Avery (bass guitar, vocals), and Julien Barbagallo (drums, vocals). <a href=""https://www.last.fm/music/Tame+Impala"">Read more on Last.fm</a>",376288409,4052153
Whirr,Reggaeton (Origen: indie),Canción,Leave,2010,6lRJqlbbsSAyoN67hVsF8A,1pb833uCDQF7R9BBJ5Qg1j,63,"Whirr is an American shoegaze band from San Francisco, California, United States. They formed in 2010, originally as Whirl. The name was created by the original drummer, Sergio Miranda, in the midst of recording the band's first demos as a nameless project. It was a homage to all the bands of ""the Scene That Celebrates Itself” (Lush, Ride, Moose, Medicine, Lilys, etc.). They had to legally change the name after a woman performing acoustic covers of Black Sabbath songs trademarked ""Whirl"" and threatened a lawsuit. <a href=""https://www.last.fm/music/Whirr"">Read more on Last.fm</a>",31460580,680647
LCD Soundsystem,Reggaeton (Origen: indie),Canción,Home,2010,5gmv3BgePSYiHnPJgY7oTJ,4hnqM0JK4CM1phwfq1Ldyz,58,"
LCD Soundsystem is the musical project of producer James Murphy, co-founder of dance-punk label DFA Records. Formed in 2001 in New York City, New York, United States, the music of LCD Soundsystem can also be described as a mix of alternative dance and post punk, along with elements of disco and other styles. 

During the band's final years, Murphy was accompanied by Al Doyle (guitar, percussion -- also of Hot Chip), Tyler Pope (!!! / Out Hud) (bass), Nancy Whang (keyboards) and Pat Mahoney (drums). <a href=""https://www.last.fm/music/LCD+Soundsystem"">Read more on Last.fm</a>",92714306,2386543
Arcade Fire,Reggaeton (Origen: indie),Canción,The Suburbs,2010,2UWdUez9MB9yzL7Y81Mcip,3DrgM5X3yX1JP1liNLAOHI,56,"Arcade Fire is a Canadian indie rock band formed in Montreal, Quebec, Canada in 2001. The band consists of Win Butler (vocals, guitar, piano), Régine Chassagne (vocals, accordion, keyboards, hurdy gurdy, drums), Richard Reed Parry (bass, guitar), Tim Kingsbury (bass), and Jeremy Gara (drums). Montreal percussionist Dane Mills performed on the EP and in early live shows.  Will Butler (keyboards, guitar) left the band in 2022 to focus on his solo career. The touring band includes horn players and violinists. <a href=""https://www.last.fm/music/Arcade+Fire"">Read more on Last.fm</a>",222581489,3064291
Miami Horror,Reggaeton (Origen: indie),Canción,Sometimes,2010,0kLrrh7Z1gySNTunBH790J,37oEeZfUpmbYlJnORF36Zk,57,"Miami Horror are an Australian indie-electronic band from Melbourne, Australia (with the name referring to producer, Benjamin Plant, and to the four-piece live incarnation). Beginning in  2007 under the moniker Miami Horror, Plant started with a series of remixes. The debut release came in 2008 with a five-track EP, Bravado, on Virgin Records. The live show has Plant augmented by Josh Moriarty (Peacocks, ex-Young & Restless) (guitars), DJ/producer Aaron Shanahan (drums), and Daniel Whitechurch (bass, keyboards, and guitars). <a href=""https://www.last.fm/music/Miami+Horror"">Read more on Last.fm</a>",14014955,778646
